3385794
/m/098w7c
/m/098w7c
Pierre Christin
1971

28th 1
a 30
ability 2
about 4
academics 1
accident 1
accompanied 1
accordingly 1
act 1
address 1
affected 1
after 1
again 1
against 2
ago 2
agree 2
agrees 2
ahead 1
aided 1
aircraft 3
aliens 1
all 1
allow 1
alone 1
already 1
also 1
amazed 3
an 9
ancient 1
and 44
any 1
appears 1
approaching 1
are 14
armada 1
around 2
arrived 1
arriving 2
as 7
asks 3
assault 1
assemble 1
assist 1
asteroid 1
astroship 7
at 4
attack 3
attacked 1
attempt 2
attracted 1
authorities 18
authority 4
back 3
barren 1
base 5
battered 1
be 4
because 1
been 1
before 1
begin 1
behind 1
bemused 1
beyond 1
biological 1
blows 1
boat 2
breaks 1
bring 1
brings 1
broken 1
but 4
buys 1
by 11
called 2
calling 1
can 1
capable 1
capital 2
capture 1
captured 1
caused 1
centuries 1
century 1
chamber 1
chanting 1
chosen 1
city 2
claim 1
clam 2
clams 1
close 2
closes 1
cloud 1
commit 1
company 1
completely 1
consignment 1
consultation 1
convinced 1
could 1
crash 1
crashed 1
crowd 1
crowds 1
cupola 1
days 1
deck 1
decline 1
delighted 1
departs 1
destroy 1
destroyed 1
destroys 1
device 1
dies 1
discover 4
discovered 1
ditching 1
doomed 1
door 1
dreadful 1
dressing 1
drinking 2
during 2
earth 9
easily 2
effort 1
elmir 12
elsewhere 1
emerges 1
emperor 1
empire 6
ends 1
enter 2
enters 1
entire 1
entry 2
erupts 1
escape 1
escort 1
eventually 1
ever 1
executes 1
exit 1
expedition 1
explains 2
explode 1
exploring 2
extend 1
extract 1
eyes 1
faces 1
fact 1
fail 1
festival 2
few 1
fill 1
find 2
finding 1
finds 1
fishermen 2
fleet 5
flight 2
flowing 1
foot 1
for 8
freed 1
from 6
further 1
gain 1
galaxity 1
gathered 1
gathering 2
get 2
give 2
going 2
gold 1
gone 1
government 1
grand 1
greeted 1
group 1
guards 3
guild 6
hall 1
hallucinogenic 1
hand 1
hangar 1
hangs 1
hard 1
has 5
have 7
he 15
head 2
heard 1
helmets 1
helped 1
her 3
hide 1
hiding 1
hills 1
him 4
his 5
holding 1
hopes 1
horribly 1
horrified 1
house 1
housed 1
however 1
human 1
humans 1
hundred 1
ice 1
if 2
impact 1
imperial 4
in 16
increasing 1
indigenous 1
information 2
inhabitants 1
innate 1
inside 3
insists 1
instead 1
intending 1
interrogation 2
into 5
investigate 1
is 21
it 3
its 2
journey 1
jump 1
jumping 1
jumps 1
keeping 2
knowledge 2
knows 2
laboratories 1
laborers 1
lands 1
later 2
laughter 1
launch 1
laureline 15
lead 1
leads 1
leaves 1
leaving 2
led 1
left 2
like 2
liquid 3
live 1
lives 2
located 1
look 1
loudspeaker 1
machinery 1
machines 1
made 1
make 2
makes 1
making 1
manages 1
many 1
markets 1
masked 1
masks 1
master 1
may 1
medicine 1
meet 1
meeting 2
members 1
merchant 2
merchants 2
middle 1
mission 1
morning 1
name 1
neck 2
new 1
next 1
no 2
nobles 1
normal 2
not 1
notices 1
now 1
numbers 1
object 1
of 22
off 2
offers 1
old 1
on 16
once 1
one 2
only 1
opens 1
operations 1
opportunity 1
opulent 1
or 1
ordered 1
organises 1
other 3
out 2
outside 2
over 3
overcome 1
own 1
palace 6
part 1
parts 1
peasants 1
phosphorescent 4
pieces 1
plan 1
planet 1
planets 2
portcullis 1
potential 1
power 3
prince 4
prisoner 2
process 1
promise 1
prompted 1
properties 1
provisional 1
psychology 1
purges 1
pursued 1
pursuit 1
ramal 2
reaching 2
real 1
realised 1
reason 1
refused 1
release 1
religion 1
remains 1
remove 1
removed 1
replace 1
replies 1
request 1
requests 1
rescue 1
resulting 1
return 2
returning 2
reveal 1
reveals 1
revenge 3
rigged 1
rise 1
risen 1
rival 1
room 3
safely 2
said 1
saw 1
scarred 1
schamil 1
scientific 1
scientists 1
searching 1
secret 1
see 1
send 1
sensing 1
series 1
session 1
sharing 2
she 3
ship 1
ships 2
slave 1
slaves 2
slip 1
slomp 6
slums 1
so 3
soon 1
soothsayers 1
sophisticated 1
space 1
spaceport 2
spaceship 6
spaceships 2
spacetime 1
span 1
spatiotemporal 2
squadron 1
stake 1
storm 1
story 1
strange 3
such 1
suddenly 3
suicide 1
superior 2
suppress 1
surprise 1
surprised 1
surrounding 1
swells 1
syrte 11
syrtethemagnificent 1
syrtien 1
syrtiens 1
system 1
take 2
taken 2
taking 1
tears 2
technology 1
tell 2
tells 2
temple 2
temples 2
terrans 1
that 16
the 122
their 23
theirs 1
them 16
themselves 1
then 1
there 1
they 26
thing 1
thousand 1
threat 1
throughout 1
time 2
to 60
told 1
took 1
trade 2
transported 1
troops 2
turns 1
up 2
upper 1
uprising 1
use 3
used 3
valrian 28
vastly 1
voice 1
want 1
wanted 1
warning 1
was 3
watch 4
way 2
we 1
went 1
were 2
what 2
when 4
where 4
whether 1
which 1
who 3
why 3
will 4
wing 1
with 6
work 1
would 1
years 1
