13548104
/m/03c90tv
/m/03c90tv
Eve Langley
1942
a 2
about 1
affection 1
against 2
agricultural 1
ah 1
alone 1
and 20
another 2
applepickers 1
arent 1
as 6
at 2
bairnsdale 1
beauty 1
best 2
bestowed 1
blue 6
boatman 1
book 1
bronze 2
but 1
celtic 2
charon 1
childhood 1
colour 1
dandenong 2
decide 1
despair 1
divided 1
dressed 1
droving 1
due 1
encouragement 1
end 1
expresses 1
falls 2
feed 1
feel 1
first 1
food 1
for 6
four 2
from 3
gender 1
general 1
gippsland 5
girl 1
glitter 1
go 1
goddess 1
gone 2
greek 1
growing 1
had 1
hair 1
harvesting 1
has 5
have 1
he 1
her 3
his 1
home 3
hops 1
idealisation 1
impatience 1
in 7
into 1
is 4
italian 1
itinerant 1
kelly 2
labourers 1
learns 1
leave 1
letters 1
lifelong 1
link 1
living 1
look 1
love 5
macca 5
maize 1
marry 1
maxwell 3
meets 1
men 2
mood 1
moon 1
most 1
mostly 1
mother 1
mythical 1
names 1
near 2
no 1
northeastern 1
not 2
novel 1
obtain 1
of 12
often 1
on 1
one 2
optimism 1
out 1
ovens 1
part 5
parts 1
peapickers 1
peapicking 1
picking 1
pines 1
place 1
plot 1
primavera 1
pruning 1
reddish 1
reflects 1
remains 1
responded 1
return 3
returns 1
rutherglen 1
sea 2
season 1
section 3
sees 1
set 1
she 3
sings 1
sisters 1
some 1
sometimes 1
spend 1
spiritual 1
steve 13
struggle 1
successful 1
suggests 1
survive 1
taking 1
that 2
the 19
their 3
them 2
themselves 1
then 1
there 1
they 7
thieve 1
thin 1
this 5
three 1
throughout 1
time 1
title 3
to 13
told 1
travel 2
true 1
two 2
upcountry 1
valley 1
venus 1
victoria 1
vines 1
waits 1
where 2
which 1
who 1
whom 2
with 3
work 6
workers 1
writes 2
yet 1
youth 1
