224529
/m/01gq70
/m/01gq70
Pam Morris


20 1
a 24
about 3
abruptly 1
accepts 2
actually 1
adaptation 1
affair 1
affection 6
africa 3
after 5
afternoon 1
age 1
agent 1
aided 1
aimee 2
almost 1
also 2
alternative 1
although 1
always 3
ambitious 1
amplified 1
an 3
and 42
annis 1
anthony 1
anyone 1
apparent 1
apprentices 1
are 2
arouses 1
arrange 1
arrives 1
as 6
asks 1
aspirations 1
at 11
attractive 1
aware 1
away 2
awkward 1
bbc 1
be 5
becomes 2
been 2
before 5
begin 1
begins 2
begs 1
behalf 1
best 1
between 3
bill 1
blessing 1
both 1
breach 1
breaking 1
breaks 2
brief 1
brilliant 1
bring 1
bringing 1
brother 2
brotherly 1
but 4
by 5
cambridge 1
career 1
careless 1
catholic 1
character 1
charms 1
chauvet 1
child 2
circumstances 1
clare 3
clever 1
collect 1
comes 1
community 1
concerns 1
confides 1
considerable 1
considered 1
continues 1
contrasts 1
convinced 1
cottage 1
coxe 1
coyle 1
cumnor 1
cynthia 12
dates 1
daughter 3
death 1
debts 1
decides 1
departure 1
die 1
dies 2
discovers 2
distressed 1
divide 1
does 1
dried 1
dutiful 1
duty 1
educated 1
elder 1
eldest 1
else 1
embraces 1
endangering 1
ending 1
enduring 1
engagement 3
especially 1
established 1
excellent 1
exnursery 1
expected 2
expedition 1
failures 1
falls 2
family 3
far 1
fashionable 1
fatally 1
father 6
feeling 1
feelings 2
feels 2
fever 1
fickle 1
fifteen 1
finds 2
flower 1
for 9
forgets 1
former 2
formerly 1
france 1
francesca 1
french 1
friend 1
friends 1
from 5
gains 1
gambler 1
gambon 1
gaskell 1
gentleman 1
gentry 2
get 1
gets 1
gibson 7
gift 1
girl 1
girls 1
gives 1
giving 2
glen 1
gone 1
good 2
governess 2
gradually 1
grandson 1
great 3
grieving 1
guide 1
had 2
hall 3
hamley 8
hamleys 1
hand 1
handsome 1
happy 1
hard 1
harriet 1
has 9
hates 1
have 1
having 1
hawes 1
he 13
heartbroken 1
heartily 1
hearts 1
heir 1
henderson 1
heptarchy 1
her 23
herself 1
hesitates 1
him 4
himself 1
his 20
hollander 1
home 4
honourable 1
honours 1
house 2
howell 1
however 3
husband 1
hyacinth 1
iain 1
idea 1
ill 3
illness 1
immediately 1
in 16
inclination 1
include 1
inconstancy 1
insists 1
insults 1
intended 1
interest 1
interference 1
intervenes 1
into 1
invalid 1
involvement 1
involving 1
irreparable 1
is 24
it 2
joy 1
just 2
justine 1
keeley 1
kind 1
kindness 1
kirkpatrick 1
knows 1
lack 1
lady 1
land 1
landed 1
later 1
leave 1
leaves 2
less 1
little 2
loan 1
local 2
london 1
love 8
maid 1
maintaining 1
make 2
makes 1
man 2
marriage 2
married 2
marries 1
marry 1
match 2
may 1
meanwhile 1
met 1
michael 1
miss 1
misses 1
molly 28
more 3
mother 4
mr 9
mrs 5
naive 1
nearby 1
never 1
new 2
night 1
no 1
noise 1
not 2
nothing 1
novel 3
now 2
of 17
off 2
on 5
one 1
opens 1
osborne 9
overhears 1
own 2
pained 1
parents 1
particular 1
passes 1
past 1
paterson 1
penelope 1
perceived 1
performed 1
picnic 1
pike 1
point 1
poorly 1
possible 1
pounds 1
preferred 1
present 1
preston 4
professional 2
promised 1
promoting 1
proof 1
provide 1
public 1
purportedly 1
quickly 1
raised 1
rather 1
realise 1
realised 1
really 1
rebellious 1
rebukes 1
receiving 1
recognized 1
reduced 1
related 1
relieved 1
remain 1
remains 1
remarry 1
remember 1
remembers 1
reputation 1
resettles 1
rest 1
return 2
returns 2
revealed 1
reveals 1
rewards 1
richard 1
ride 1
rise 1
roger 13
roman 1
room 1
rosamund 1
rumoured 1
rumours 1
run 1
rushed 1
sake 1
same 1
scandals 1
scare 1
scarlet 1
scene 1
scientific 2
scoundrel 1
secret 6
secrets 1
seduced 1
see 1
seems 1
selfish 1
sends 1
sense 2
sent 1
seven 1
several 1
she 12
shortly 1
should 1
show 1
slightly 1
so 1
socially 1
son 5
sons 1
soon 2
sorrow 1
speak 1
speaking 1
squire 4
startlingly 1
stay 1
staying 1
stepmother 1
stepsister 1
still 1
stops 1
struggles 1
study 1
substitute 1
suitable 1
sustaining 1
than 3
that 12
the 45
their 3
themselves 1
then 1
there 1
thereafter 1
they 1
this 5
thought 1
thoughtless 1
throwing 1
thwarted 1
tim 1
time 1
tired 1
to 37
together 1
tom 1
tonia 1
towers 1
tragically 1
tries 1
two 1
twoyear 1
ultimately 1
unable 2
unfinished 2
unfortunately 1
union 1
university 2
unsuccessfully 1
until 1
unworldly 1
unworthy 1
up 1
violently 1
visiting 1
waddell 1
wallers 1
was 3
well 1
were 1
when 5
which 4
while 1
who 7
whom 2
whose 1
widens 1
widow 1
widowed 1
wife 2
will 1
wilton 1
with 16
without 1
woman 2
word 1
work 1
worldly 1
worse 1
worth 1
would 1
written 1
years 2
young 3
younger 2
