3603706
/m/09pb48
/m/09pb48
Yvonne Navarro
2000-09
a 4
all 1
alysa 1
an 1
and 4
appropriate 1
are 1
as 3
at 1
ate 1
baby 1
badly 1
band 2
bardrick 1
be 3
both 1
but 1
by 1
class 1
considers 1
dangers 1
daniel 5
dingoes 1
dinosaur 1
eggs 2
enjoy 1
extremely 1
fit 1
for 1
found 1
from 1
getting 1
given 1
goal 1
goes 1
halls 1
has 1
he 1
help 2
her 1
high 2
him 1
his 2
history 1
immediately 1
in 1
intentions 1
is 4
just 1
keven 1
kevin 4
lecture 1
literally 1
lonely 1
man 1
manager 1
manuscripts 1
meanwhile 1
members 1
mentor 1
museum 1
my 1
name 1
named 2
natural 1
not 1
of 3
offer 1
only 1
oz 1
palaeontology 1
person 1
prehistoric 1
resurrect 1
ritual 1
run 1
same 1
sanderson 1
seems 1
she 1
some 1
stalk 1
still 1
student 1
sunnydale 3
that 1
the 5
their 2
they 1
thoroughly 1
to 8
transfers 1
trying 1
unfortunately 1
unsure 1
until 1
very 1
wants 1
which 1
who 1
will 1
with 1
woman 1
works 1
