22451076
/m/05zj12j
/m/05zj12j
Danielle Steel
1992
116 1
13th 1
75th 1
a 11
according 1
after 2
all 2
america 1
and 14
another 1
around 1
as 2
aside 1
bad 1
be 1
became 2
begun 1
birth 2
birthday 2
bond 1
book 1
borders 1
born 1
bought 1
british 1
busy 1
but 4
by 2
captivated 1
care 1
caretaker 1
cast 1
center 1
chateau 3
child 1
christmas 1
commandant 1
companion 1
concerned 1
convinced 1
cottage 1
courtly 1
crown 1
daughter 1
day 1
days 1
de 1
declared 1
did 1
died 2
discovered 1
divorce 1
dragged 1
drank 1
due 1
duke 1
dying 1
elizabeth 1
england 1
establish 1
estate 1
europe 1
everything 1
except 1
faithful 1
family 3
fears 1
fell 1
fever 1
few 1
finally 2
find 1
first 2
for 5
forced 1
france 2
freddie 1
friends 1
from 1
funeral 1
gave 1
german 1
germans 1
germany 1
goes 1
got 1
grandsons 1
had 5
happened 1
hard 1
have 1
he 3
heart 1
her 10
him 2
his 2
honeymoon 1
how 1
ii 1
imperfect 1
in 9
isabelle 1
it 1
jewelers 2
jewelry 1
joachim 4
job 1
join 1
julian 1
kids 2
la 1
later 1
leave 1
led 1
left 1
legs 1
line 1
london 1
lost 1
love 1
mainly 1
man 2
mannheim 1
married 1
marry 1
matriarch 1
may 1
medical 1
met 1
meuze 1
mingled 1
miscarried 1
money 1
moped 1
more 1
nephews 1
night 2
no 1
of 11
on 6
only 1
paints 1
parents 1
phillip 2
place 1
portrait 1
possession 1
powerful 1
pregnant 2
present 1
prostitutes 1
public 1
raf 1
reluctantly 1
reminds 1
removing 1
rest 1
restore 1
returned 2
sarah 12
scandal 1
seized 1
she 5
soldiers 1
sons 1
soon 2
spends 1
steel 1
still 1
store 1
succession 1
supplies 1
tell 1
that 3
the 21
their 3
them 1
then 1
they 2
thompson 1
throne 1
till 1
time 2
titles 1
to 16
took 1
transcends 1
troops 1
upon 1
us 1
use 1
von 1
war 3
was 4
wellmeaning 1
welltodo 1
went 1
when 1
where 1
whitfield 3
who 3
william 8
wishes 1
with 3
work 1
worked 1
world 2
wounded 1
xavier 2
years 1
