10052331
/m/02q088_
/m/02q088_
Edgar Allan Poe
1840
{"/m/08sdrw": "Adventure novel"}
172 2
a 14
abandoning 1
accompanied 1
account 1
across 1
adventures 1
alexander 1
an 1
and 13
andrew 1
animals 1
another 1
are 4
art 1
as 2
assist 1
at 2
attack 2
attacked 2
be 2
bear 3
bears 3
been 1
before 1
brain 1
brothers 1
brown 1
bulletproof 1
but 1
by 13
came 1
cannot 1
canoe 1
carved 1
chapter 1
chequered 1
chronicled 1
chronicles 1
civilised 1
cliff 1
cliffs 2
clump 1
commercial 1
companions 1
contents 1
cornered 1
country 1
creatures 1
cross 1
crossing 1
death 1
deliberately 1
deliverer 1
departed 1
described 4
detailed 2
devices 1
diary 2
dreaded 1
during 1
e 1
each 1
easily 1
emigrant 1
encountered 1
english 1
enormous 1
entered 1
european 1
events 1
expedition 6
experienced 1
explored 1
eye 1
face 1
fancy 1
ferocious 1
ferocity 1
fertile 1
fictionalised 1
fiercenss 1
final 1
first 4
foot 1
for 2
formed 1
formidable 1
fought 1
frank 1
from 3
gigantic 1
greely 3
grizzly 1
had 6
handful 1
have 1
heir 1
hieroglyphical 1
him 1
his 6
human 1
imagine 1
in 5
indeed 1
indians 1
is 6
james 1
john 1
journal 3
julius 3
keelboat 1
kentucky 1
led 1
life 1
lifetime 1
lines 1
long 1
made 1
man 1
many 1
material 1
mauled 1
member 2
men 1
mere 1
meredith 1
might 2
mills 1
mississippi 1
missouri 3
monster 1
monuments 1
most 2
motives 1
mountains 2
moved 1
ms 1
much 1
nature 1
never 1
new 1
northwest 1
of 14
on 3
one 1
openmouthed 1
or 1
other 1
our 1
over 1
party 3
pecuniary 1
pierre 1
pistol 1
pleasure 1
poindexter 1
point 1
pointblank 1
possessing 1
prodigious 1
prophet 2
put 1
rains 1
range 1
reared 1
reason 1
recounts 1
remarkable 1
river 2
robert 1
rocky 2
rodman 8
rosebushes 1
rushing 1
saved 1
say 1
scarcely 1
settled 1
several 1
shoot 1
shoots 1
so 1
soft 1
stop 1
strength 1
submitted 1
subsequently 1
supposed 1
surprising 1
tenacity 1
that 1
the 41
their 1
them 1
then 2
these 2
they 4
thirty 1
this 1
thornton 1
time 1
to 7
toby 1
traveled 1
travelers 1
travellers 1
trickling 1
two 2
unparalleled 1
untamable 1
until 1
up 2
upon 1
us 1
variety 1
vicissitudes 1
virginian 1
voyage 1
was 5
we 2
western 1
which 3
white 1
who 3
wilderness 1
with 5
wonderful 1
word 1
wormley 1
would 1
yet 1
york 1
