9293968
/m/0283fbl
/m/0283fbl
Beatrix Potter
1904
a 13
after 1
all 3
amusing 1
and 23
are 2
at 1
atones 1
bad 1
bang 2
beads 1
beautiful 2
because 1
begins 1
behaviour 1
behold 1
believes 1
belonging 1
bird 1
blue 1
board 1
bolster 3
bookcase 1
bought 1
box 1
broom 1
burn 1
but 1
by 1
cage 1
called 1
canisters 1
carry 1
chest 1
chimney 1
christmas 1
class 1
come 1
convenient 1
cookdoll 1
cooks 1
crimes 1
crinkly 1
crooked 1
cross 1
deepening 1
delight 1
description 1
destruction 2
developing 1
dining 1
dinner 1
discover 1
discovers 1
dish 1
doll 3
dollhouse 6
dolls 5
domesticity 1
door 3
drawers 1
dresses 1
drive 1
dustpan 1
empties 1
ends 1
enjoyed 1
enter 1
entertained 1
eve 1
even 1
every 2
extremely 1
feathers 1
fire 1
fireplace 1
fit 1
food 3
for 6
from 3
front 1
full 1
gave 1
gets 1
girl 1
hand 1
happiness 1
have 1
hearthrug 1
her 8
his 2
house 1
hunca 5
improper 1
in 13
including 1
is 7
it 4
jane 3
joy 1
kitchen 2
leave 1
life 1
little 1
living 1
loses 1
lucinda 2
made 1
mice 4
middle 1
midst 1
miniaturized 1
mischief 1
more 2
morning 2
mousehole 2
mousetrap 1
munca 5
narrator 1
naughty 1
ndash 2
needs 1
never 2
no 1
norman 1
not 3
nurse 1
nursery 3
odds 1
of 9
off 2
on 2
once 1
one 3
open 1
opens 1
out 2
owns 1
paper 1
pays 1
peep 1
perambulator 2
personal 1
placed 1
plaster 2
plates 1
policeman 1
positions 1
potter 2
practical 1
professional 1
pulls 1
readymade 1
real 1
red 1
redhot 1
reflects 1
relationship 1
remembers 1
return 1
rigors 1
scurries 1
serious 1
set 1
sets 1
several 1
shavings 1
she 2
sixpence 1
skirting 1
small 1
smash 3
so 2
sootless 1
sort 1
speechless 1
squeak 1
stocking 1
strictures 1
suddenly 1
sweeping 1
table 2
take 1
takes 1
tale 2
temper 1
than 1
that 2
the 45
their 5
them 1
they 4
though 1
thrill 1
through 1
thumb 5
thus 1
time 1
to 4
tom 5
tosses 1
trouncing 1
try 1
two 4
under 1
up 1
upon 1
vandalism 1
very 2
vicarious 1
warne 1
was 1
when 3
while 2
who 1
will 2
window 1
with 4
would 1
wreak 1
