373711
/m/020s7b
/m/020s7b
Kathy Tyers
1993
a 11
able 1
absence 1
actually 1
addition 1
advanced 1
advice 1
against 2
agenda 1
ago 1
alien 1
aliens 1
alliance 4
allow 1
ally 1
also 2
although 1
an 3
anakin 1
and 12
appears 1
apprentice 1
arrival 1
as 5
at 3
attempted 1
attempts 1
attraction 1
back 1
bakura 6
bakuran 1
battle 1
be 1
beachhead 1
because 1
been 1
begs 1
beings 1
believe 1
believed 1
best 2
between 1
brainwashed 1
brainwashing 1
breakthrough 1
but 4
by 5
call 1
cannot 1
captison 1
captured 1
cells 1
chafes 1
chaos 1
commander 2
consistently 1
containing 1
continue 1
controversially 1
cope 1
could 1
crafty 1
cruisercarrier 1
danger 1
darth 1
dead 1
decides 2
defects 1
depart 1
despite 1
destroys 1
details 1
dev 3
dies 1
diplomatic 1
discovers 1
dissension 1
distance 1
distracted 1
distress 1
do 1
during 2
emperor 1
empire 3
end 2
endor 2
energies 1
entech 1
entechment 1
escape 2
especially 1
establish 1
exchange 1
far 1
father 1
feelers 1
fight 2
finally 2
find 2
finds 1
first 1
flurry 1
for 3
force 4
forces 2
forcesensitive 1
forgiveness 1
forming 1
forms 1
free 1
from 2
furthering 1
gaeriel 2
galaxy 2
garrison 1
get 1
given 1
governor 1
greater 1
han 1
harvest 1
has 1
hash 1
he 3
her 5
him 1
himself 1
his 7
human 1
if 2
imperial 5
imperials 1
imperium 1
in 5
incident 1
injured 1
intelligence 1
intercept 1
intercepts 1
into 3
intrigues 1
invading 1
invasion 2
is 6
it 2
jedi 2
join 1
joined 1
joint 1
kenobi 1
kidnapping 1
killed 1
knight 1
know 1
knowledge 1
known 1
larger 1
later 2
lead 1
leave 1
leia 3
let 1
level 1
life 2
lizardlike 1
luke 7
makes 1
manages 1
message 1
mother 1
must 2
nascent 1
navy 1
nereus 3
new 2
newlyformed 1
notably 1
novel 1
obiwan 1
objections 1
of 11
off 1
officer 1
on 3
one 1
ongoing 1
only 1
order 1
out 2
outer 1
over 1
overthrow 1
palpatine 1
personal 1
planet 1
power 1
powers 1
prevent 1
princess 1
probe 1
process 1
pter 1
public 1
putting 1
race 2
ranking 1
rebel 4
rebelimperial 1
recovering 1
referred 1
relationship 1
religious 1
remnants 1
repel 1
reptilian 1
republic 2
resistance 1
retreat 1
revelation 1
rim 1
rule 1
save 1
scattered 1
seek 1
seeks 1
senators 1
sense 1
she 1
shortly 1
sibwarra 1
skywalker 3
solo 1
some 2
spirit 1
spread 1
ssiruuk 10
ssiruuvi 2
struggle 1
succeeds 1
supply 1
take 1
taken 1
technology 2
thanas 2
that 5
the 47
their 4
them 2
themselves 1
they 3
this 1
though 3
three 1
through 2
time 1
to 21
together 1
too 2
turn 1
turns 1
under 2
underscores 1
untrained 1
upon 1
vader 1
victory 1
visited 1
volunteers 1
was 2
way 1
well 1
when 2
which 1
while 1
who 2
whose 1
widespread 1
wilek 1
with 5
world 1
would 1
wounds 1
years 1
