11099422
/m/02q__kd
/m/02q__kd
William Boyd

114 1
a 8
affects 1
africa 5
against 1
american 1
an 4
and 10
any 1
apart 1
aristocratic 1
as 1
at 1
august 1
authority 1
back 1
battle 1
be 1
before 1
befriends 1
between 1
bilderbeck 1
bishop 4
botanical 1
breaks 2
british 5
brother 1
bureaucracy 1
burns 1
but 1
by 1
campaign 1
capital 1
captain 1
centrepiece 1
certain 1
chaos 1
character 2
charis 1
children 1
cobb 1
coffee 1
colonial 1
company 1
considered 1
converge 1
cordial 1
could 1
dar 1
death 1
decorticator 1
despises 1
develops 1
dismantles 1
district 1
during 1
east 4
english 1
erich 2
es 1
even 1
eventually 1
every 1
everyone 1
expatriate 1
family 1
farm 2
fatherinlaw 1
felix 2
fellow 1
first 1
focuses 1
for 2
forces 2
fought 1
four 1
from 2
gabriel 3
garden 1
german 4
goes 2
great 1
halfenglish 1
haste 1
he 6
his 7
honeymoon 1
hospital 1
how 1
i 2
in 12
individual 1
industrial 1
ineptitude 1
infatuation 1
inspiring 1
introduced 1
involves 1
is 5
it 1
jealousy 1
joins 1
kilimanjaro 1
latter 1
liesl 1
linseed 1
made 1
major 1
makes 1
marries 1
massive 1
meets 1
military 2
missionary 1
mount 1
nairobi 1
narrative 1
near 1
neighbour 1
next 1
normandy 1
novel 1
now 1
nurse 1
observes 1
of 7
officer 1
older 1
on 4
opening 1
operations 1
out 2
over 1
ownermechanicengineer 1
parks 1
paths 1
penniless 1
people 1
personal 1
plant 1
plantation 2
plump 1
posted 1
pow 1
psychotic 1
pursuing 1
quickly 1
recovering 1
recurring 1
refugee 1
regiment 1
reparations 1
runs 1
salaam 1
satire 1
second 1
secure 1
seedlings 1
several 1
shops 1
sisal 3
smith 7
soldier 1
soldiers 1
someone 1
somewhere 1
son 1
soon 1
spreads 1
story 1
strand 1
stubborn 1
studious 1
successful 1
such 1
sweetheart 1
terms 1
that 2
the 17
their 1
then 1
there 1
time 1
to 3
traditional 1
unable 1
unfortunate 1
vengeance 1
von 4
walter 1
war 6
wartime 1
wheechbrowning 2
where 1
wherever 1
while 1
whilst 1
who 2
whom 1
whose 1
wife 2
will 1
with 3
works 1
world 2
wounded 1
years 1
youngest 1
