504713
/m/02jdsm
/m/02jdsm
Alan Sillitoe
1958
14 1
22 1
a 14
about 1
accomplice 1
actions 1
affairs 1
after 1
all 1
although 1
an 1
and 14
another 1
arthur 16
as 1
assault 1
at 6
beaten 1
bedridden 1
been 1
before 2
begins 2
bicycle 1
bill 2
book 1
breakfast 1
brenda 7
bulk 1
by 1
can 1
carries 1
catch 1
catches 1
challenged 1
check 1
clean 1
club 1
collage 1
colleague 1
comes 2
contest 1
course 1
courtship 1
days 1
defeats 1
despite 1
disappear 1
dishonesty 1
doreen 4
down 1
drinking 1
drunk 1
during 2
earn 1
earns 1
end 1
enjoying 1
enjoys 1
events 1
factory 1
falling 1
fantasies 1
fears 1
finally 1
follows 1
for 2
friend 1
from 2
get 1
gets 1
girl 1
good 1
has 1
have 1
he 4
hears 1
her 2
him 4
his 6
home 2
however 1
husband 2
imagined 1
in 4
infidelity 1
innocent 1
into 1
is 3
jack 5
jump 1
keeping 1
keeps 1
lathe 1
leaving 1
letting 1
loudmouth 1
made 1
man 1
marry 1
may 1
meets 1
memories 1
mental 1
mind 1
more 1
morning 4
much 2
mundane 1
news 1
night 8
nights 1
nottingham 1
novel 2
now 1
oblivious 1
occupied 1
of 7
old 1
on 3
one 1
out 2
part 1
parts 1
past 1
plans 1
pleases 1
pounds 1
pub 1
races 1
relationship 1
relatively 1
repetitive 1
robboe 1
same 1
saturday 4
second 1
secret 1
sister 1
smaller 1
so 1
soon 1
spend 2
split 1
stairs 1
stays 1
story 1
sunday 4
superior 1
switched 1
takes 1
that 1
the 18
they 1
through 1
time 2
to 5
together 1
trouble 1
two 1
unequal 1
unmarried 1
up 2
wage 1
week 1
weekend 1
when 2
which 1
while 1
whom 1
wife 3
winnie 5
with 10
work 2
working 1
works 1
years 1
young 1
