22844537
/m/06424fh
/m/06424fh
Daniel Handler
2008-09-30
100 1
a 7
about 1
actual 1
all 1
although 1
an 4
and 10
art 5
artist 1
artistic 1
barbecue 1
be 2
become 1
believes 1
bratty 1
but 2
by 2
called 1
christmastime 1
claus 1
coal 9
comes 1
continues 1
discovers 2
does 1
down 1
dressed 1
ecstatic 1
falls 1
finds 3
first 1
for 1
gallery 2
genuine 1
gets 1
goes 2
grill 1
happen 1
has 1
have 1
he 13
his 2
humans 1
idea 1
in 4
into 1
is 4
it 2
jasper 1
korea 1
korean 6
like 1
living 1
lump 6
lumps 2
make 1
makes 1
man 3
miracle 1
move 1
mr 1
must 1
name 1
not 1
of 10
off 1
open 1
or 1
owner 1
portraits 1
problem 1
proper 1
put 1
restaurant 3
rich 1
runs 1
sadly 1
santa 1
school 1
search 1
secretarial 1
shows 1
so 1
something 1
son 2
spices 1
stocking 1
street 1
suggests 1
tells 1
that 2
the 11
their 1
then 1
they 1
things 1
to 4
use 2
used 1
wanted 1
wants 1
when 1
who 1
wishes 1
with 1
wong 1
