5280749
/m/0dcccq
/m/0dcccq
Ian Irvine
2006
a 2
after 1
against 1
also 1
and 4
at 1
be 1
become 1
becomes 1
been 1
beheaded 1
beloved 1
benefits 1
boogeyman 1
can 1
character 1
characters 1
come 1
conclusion 1
condition 1
decision 1
down 1
either 1
evil 1
family 3
father 5
fight 1
finally 1
first 1
for 3
former 1
from 1
front 1
glory 1
godemperor 1
great 1
grouped 1
had 1
has 4
hatched 1
have 2
he 5
her 2
him 3
his 9
hlar 1
hope 1
however 1
if 2
imprisoned 2
in 2
into 1
irisis 1
irvine 1
is 3
jalnish 2
join 1
joins 1
last 1
left 1
lieutenant 1
loyalty 1
maely 2
maelys 1
make 1
man 1
marrying 1
must 1
mysterious 1
never 1
new 1
nish 4
novel 1
numinator 1
of 4
once 1
or 1
plan 1
prison 1
raised 1
rebels 1
release 1
rescue 1
resists 1
seduce 1
seek 1
set 1
story 1
swear 1
swore 1
temptations 1
ten 2
that 2
the 11
their 1
thousands 1
through 1
time 1
to 7
together 1
torments 1
traitor 1
unsure 1
up 1
was 1
way 1
when 1
whether 1
who 2
whose 1
will 1
would 1
years 2
