5028764
/m/0c_kdc
/m/0c_kdc
Joe Dever
1995
agarash 1
all 1
alliance 1
ancient 2
and 2
armies 1
before 1
by 2
conquest 1
crusade 1
damned 1
defeat 1
destroy 1
devastating 1
discoveries 1
draws 1
during 1
effect 1
eldenora 1
empowered 1
evil 2
free 1
from 1
has 1
he 1
his 5
infiltrate 1
is 1
kai 1
leads 1
lone 1
lord 2
lost 1
magics 1
magnamund 2
master 1
of 5
peaceful 1
power 1
realms 1
rule 1
rune 1
runes 1
secrets 1
skulltor 1
stronghold 1
succumbs 1
supreme 1
swift 1
task 1
the 7
to 3
tyrannical 1
unearthed 1
unleashes 1
upon 1
used 1
vandyan 3
vandyans 1
which 1
with 1
wolf 1
your 1
