21919680
/m/05p0lnm
/m/05p0lnm
Nora Roberts
1981-01
a 5
about 1
adelia 1
admit 1
after 2
agreeing 1
alongside 1
although 1
american 1
an 1
and 10
animals 1
appear 1
are 1
area 1
argues 1
arguments 1
as 2
attack 1
attempted 1
away 1
back 1
become 1
becomes 2
begins 1
between 1
by 1
care 1
concerned 1
confess 1
confident 1
consummate 1
convenience 1
cunnane 1
dee 11
embraces 1
emigrates 1
evident 1
exchange 1
exploited 1
farm 2
feelings 1
fiery 1
finally 1
follows 2
for 2
former 1
from 1
future 1
girlfriend 1
given 1
grant 1
has 2
he 2
heart 1
her 2
him 1
his 1
horse 1
hospital 1
however 1
in 2
increasingly 1
insecurities 1
insists 1
irishwoman 1
is 2
job 1
large 1
later 1
lead 1
live 1
love 3
make 1
many 1
margot 1
marriage 3
more 1
mortality 1
neither 1
novel 1
of 3
often 1
on 1
other 1
overwrought 1
owner 1
paddy 3
passionate 1
penniless 1
privately 1
progresses 1
protagonists 1
rape 1
relationship 2
rescues 1
resolve 1
returned 1
room 1
runs 1
she 1
soon 1
sophisticated 1
states 1
still 1
story 2
suffers 1
take 1
temper 1
temporary 1
that 1
the 11
their 7
they 1
to 9
travis 8
two 1
uncle 2
unhappy 1
united 1
unwilling 1
very 1
vocalize 1
vows 1
wealthy 1
when 1
who 2
willing 1
win 1
with 3
work 1
working 1
works 1
young 1
