13320166
/m/03c1nck
/m/03c1nck
Ben Bova
2005-04-14
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 10
abandon 1
able 1
accept 1
addie 1
again 1
against 2
agents 1
agonizingly 1
alexios 2
all 2
allows 1
also 1
always 1
an 1
and 17
appear 1
are 1
arrested 1
as 3
assume 1
asteroid 1
at 1
authentically 1
awry 1
be 2
beat 1
beautiful 1
became 1
been 4
behind 1
being 1
believe 1
believes 1
beloved 1
belt 2
billionaire 1
bioengineer 1
blames 1
both 1
bracknell 3
brought 1
brutal 1
but 2
by 7
can 1
cannot 1
captain 2
career 2
caught 2
cause 1
chief 1
child 1
clergyman 1
comes 1
compounds 1
conclusion 1
confesses 1
confession 1
consummating 1
containing 1
contemplates 1
continue 1
corporation 3
crew 1
crushed 1
culpable 1
dante 2
danvers 5
daughter 2
delays 1
demons 1
designs 1
destroy 2
destruction 1
die 2
disaster 1
discovered 1
discovery 1
doublecrossing 1
downfall 1
earth 1
ecuador 1
elements 1
elevator 1
elliott 2
empowers 1
end 1
engineer 1
engineering 1
escapes 1
even 1
exiled 1
exposing 1
extensive 1
extent 1
faced 1
fall 1
falls 1
far 1
fate 2
feels 1
final 2
finally 2
financially 1
first 1
flawlesslyto 1
focus 1
for 12
forces 1
frames 1
freighter 1
friends 1
from 3
fundamentalists 1
furthermore 1
future 1
gladly 1
go 1
goodnatured 1
great 1
guilt 1
had 2
harbored 1
hard 1
has 3
hauler 1
have 1
having 2
he 15
hearing 1
heralds 1
him 6
himself 2
his 20
however 3
human 1
humanity 1
identical 1
identity 1
if 1
imploring 1
in 10
inducted 1
industrialist 1
infiltrate 1
into 2
is 7
it 5
justified 1
killed 1
lara 3
laraupon 1
last 1
late 1
leader 1
leads 1
led 1
life 5
low 1
lures 1
make 1
manages 2
mance 8
mancedante 2
married 1
martian 1
may 1
mercurian 3
mercury 2
message 1
millions 1
misery 1
molina 5
moments 1
moon 1
morality 1
nano 1
near 1
new 2
nor 1
odds 1
of 13
officer 1
on 2
only 1
operations 1
orbit 1
order 1
ore 1
organic 1
ostensibly 1
out 1
outside 1
outwardly 1
own 2
perhaps 1
period 1
perish 1
persona 1
planet 1
planting 1
plot 1
project 1
prolonged 1
protect 1
punishment 1
put 1
ran 1
reader 1
realizes 1
reconstruction 1
recuperate 1
regret 1
religious 1
rescued 1
responsible 2
return 1
rev 2
revenge 3
rock 1
ruin 1
ruined 2
ruinous 1
sabotage 1
same 2
samples 1
schemes 1
scheming 1
sees 1
set 2
she 1
ship 1
ships 1
simple 1
since 1
skytower 4
slowly 1
son 3
space 1
stars 1
succeeds 1
successful 1
super 1
survive 1
takes 1
taking 1
tapes 1
taping 1
testament 1
tethered 1
that 6
the 44
their 1
them 2
there 1
these 1
things 2
those 1
three 1
through 1
time 3
to 28
tragedy 1
trial 1
trickery 1
true 1
trying 1
turn 1
turns 1
ultimately 1
undergoing 1
up 3
upon 1
victor 2
visionary 1
waiting 1
was 5
wastes 1
way 1
when 4
where 3
which 3
while 2
who 4
whod 1
whom 3
wife 1
will 1
willing 1
with 4
work 2
worse 1
wrong 1
yamagata 8
yet 1
young 1
