28486403
/m/0crc1hm
/m/0crc1hm
Wilson Tucker
1952
1 1
a 17
abandoned 1
abandons 1
across 1
after 3
agent 1
agrees 1
air 1
alive 1
all 1
allow 1
allowed 1
almost 1
an 5
and 15
anyone 1
are 2
army 4
as 2
attack 4
attempting 1
awakes 1
back 1
bacteriological 1
be 1
becomes 1
been 6
binge 1
body 1
boldness 1
border 1
both 1
bridge 3
bridges 1
brother 1
but 4
by 2
cabin 1
camp 1
can 1
canadian 1
cannibals 1
capture 1
car 2
carriers 1
catches 1
chances 1
chicago 1
clear 1
close 1
coast 1
combination 1
combined 1
come 1
comes 2
commanding 1
concludes 1
contact 1
convoy 3
corporal 1
corpses 1
country 3
cross 4
dc 1
decide 1
decides 1
deliver 1
deserted 1
determined 1
disabled 1
discover 1
discovers 3
disease 1
dismembered 1
does 1
drive 2
drives 1
drunken 1
eastern 1
encounters 1
enemy 1
entire 2
escapes 1
evades 1
everyone 1
except 1
exposed 1
expresses 1
farm 1
farmhouse 1
father 2
few 1
filling 1
finally 1
find 3
finds 1
fisherman 1
fix 1
flames 1
florida 1
following 3
food 1
for 6
former 1
fort 1
from 3
further 1
future 1
gary 9
girl 6
go 1
gold 1
government 1
gratitude 1
guard 1
guarded 1
gulf 1
guns 1
had 2
handful 1
has 4
have 5
he 23
her 3
hills 1
him 4
himself 1
home 1
hoping 1
hotel 1
however 1
hunt 1
if 1
illinois 2
in 10
individuals 1
infected 1
initiated 1
intact 1
into 1
is 7
it 3
jay 1
join 1
joins 3
kentucky 1
killed 1
kills 1
knox 1
labeled 1
leads 1
learns 1
leave 1
lodging 1
loses 1
make 1
makes 1
man 1
masquerading 1
men 6
met 1
mississippi 2
months 1
most 1
mother 1
murder 1
natural 1
near 1
nevertheless 1
night 1
no 1
not 2
nuclear 1
number 1
of 13
off 1
offers 2
officer 1
ohio 1
oliver 2
on 3
one 5
only 2
orders 1
other 1
out 1
outside 1
over 5
partially 1
passing 1
people 1
permanent 1
plague 2
planning 1
pneumonic 1
population 1
preference 1
pregnant 1
provide 1
pursued 1
quarantine 1
quarantined 1
rare 1
realization 1
realizes 1
realizing 1
remaining 1
remnants 1
resistance 1
returns 1
river 1
room 1
running 1
saves 2
scene 1
school 1
sees 1
sets 1
sex 1
she 1
shoot 1
shoots 1
side 2
since 1
slowly 1
so 1
spends 1
spring 1
stealth 1
still 1
subjected 1
succumbs 1
such 1
supplies 1
survive 1
survived 1
survivor 1
take 1
takes 2
teacher 1
tells 1
thanks 1
that 11
the 50
them 3
there 2
they 7
third 1
those 1
three 1
through 2
tire 1
to 22
toward 3
town 1
trading 1
travels 1
troops 1
trucks 2
under 1
until 1
up 3
upon 1
virus 1
waiting 1
wakes 1
warfare 1
was 1
washington 1
way 1
were 1
west 3
western 1
where 3
which 2
while 1
who 2
will 1
winter 3
with 9
woman 2
years 1
young 1
