6150247
/m/0fst1d
/m/0fst1d
Humphrey Hawksley
2000-08-24
1000 1
2007 1
3 2
a 1
accuses 1
am 1
an 1
and 3
are 4
arsenals 1
assaults 1
attack 1
attacking 1
becoming 1
begin 1
being 2
china 3
chinese 1
choedrak 1
crescent 1
declares 1
devastated 1
drapchi 1
face 1
far 1
fears 1
first 1
flag 1
force 1
free 1
frontier 1
gendun 1
gives 1
greatest 1
green 1
have 1
her 1
in 1
incarcerated 1
india 3
indian 1
involved 1
is 2
it 1
kargil 1
later 1
launches 1
leaders 1
major 1
matter 1
may 1
mobilized 1
nightmare 1
nightmares 1
novel 1
now 1
nuclear 3
of 2
on 4
out 1
outpost 1
pakistan 3
paratroopers 1
powers 1
prison 1
promptly 1
raising 1
religious 1
russia 1
says 1
scenarios 1
sffspecial 1
soil 2
strategic 1
the 4
there 1
this 2
threatening 1
tibetan 1
to 2
true 1
us 1
vs 1
war 2
west 2
where 1
while 1
who 1
whoever 1
will 1
with 1
world 1
worst 1
