3024228
/m/08l87h
/m/08l87h
Novala Takemoto

a 10
about 1
accidentally 1
advertisement 1
after 2
akimi 1
allgirl 2
although 1
an 4
and 11
answers 1
argument 1
as 2
asks 1
assistant 1
at 3
baby 1
back 2
background 1
beautiful 1
become 1
been 1
begins 1
belongs 1
between 1
bonnet 1
born 2
boyish 1
brand 1
bright 1
bszoku 1
but 2
buy 1
buys 1
by 1
calls 1
came 1
car 1
challenges 1
clothes 3
clothing 1
coat 2
come 1
concern 1
constantly 1
crash 1
decides 1
designer 2
die 1
do 1
does 2
doublebrand 1
dresses 1
driving 1
early 1
embroider 1
embroidered 1
embroiderer 2
embroidery 2
emma 1
entire 1
expensive 1
fake 3
father 2
fight 1
film 2
final 1
find 1
finds 2
flash 1
for 2
former 1
forward 1
france 1
friends 1
frilly 1
gang 3
gangs 1
gangster 1
garment 1
getting 1
go 2
gradually 1
great 1
had 1
has 3
have 1
he 2
heard 1
help 2
her 8
herself 1
himself 2
his 1
hit 1
house 1
ichigo 9
in 7
instead 1
introduce 1
involved 1
is 4
it 2
kobe 1
later 1
leader 1
leaving 1
legendary 1
life 1
lolita 1
look 1
making 1
meets 1
members 1
mob 1
momoko 12
money 1
moped 1
mother 1
motorbike 2
motorcycle 1
move 1
movie 2
mr 1
must 1
name 1
named 1
near 1
needs 1
never 1
not 1
notices 1
occurred 1
of 8
offers 1
on 2
pair 1
past 1
persuades 1
placed 1
plain 1
plans 1
pricey 1
products 1
racy 1
rescuing 1
revealed 1
rococoera 1
rural 1
rushing 1
sample 1
scenes 1
sell 1
selling 2
several 1
she 7
shifts 1
shimotsuma 2
shine 1
shop 2
short 1
skill 1
smalltime 1
so 1
some 1
sometimes 1
soon 1
stars 1
start 1
stitch 1
stitched 1
stop 1
studios 1
that 3
the 24
then 1
there 2
they 2
to 15
tokyo 2
town 1
translated 1
tribute 1
trip 1
trouble 1
type 1
universal 1
unlikely 1
versace 2
wants 1
was 3
when 1
where 1
which 2
while 1
who 3
wins 1
wishes 1
with 4
