249894
/m/01l2dh
/m/01l2dh
Spencer Johnson
1998
a 9
able 1
about 3
abundant 1
across 1
adapt 1
adventure 1
affected 1
afraid 1
after 7
again 6
aid 1
allegorically 1
allows 1
along 1
an 1
and 27
angered 1
angry 1
annoyed 1
another 1
anticipate 1
any 1
approaching 1
arduous 1
are 4
around 1
arrive 2
arrogant 1
aside 1
at 8
back 3
be 2
become 1
becoming 1
before 1
beforehand 1
begin 2
begins 3
begun 1
behind 1
being 1
beyond 1
bits 3
blame 1
both 2
brushing 1
but 6
by 3
c 6
can 2
cautious 1
change 9
characters 1
cheese 45
cheesefilled 1
cheeseless 1
chiseling 1
chuckle 1
clarify 1
comes 1
comforted 1
complacency 1
constant 1
content 1
continual 1
continue 1
corridor 1
corridors 1
counted 1
daily 2
day 7
dead 1
debilitating 1
decides 2
deciding 1
deeper 1
demands 1
denial 1
different 1
disappointment 1
discovered 1
dismisses 1
do 2
during 1
dwindled 1
dwindling 1
each 2
eating 2
empty 2
enjoy 5
enters 1
environment 1
essence 1
establish 1
even 1
eventuality 1
experience 2
explores 1
extinct 1
fear 1
fearful 1
fears 2
features 1
feel 1
few 1
find 7
finding 2
finds 1
for 13
found 3
four 1
free 1
friend 5
frightened 1
from 3
get 2
getting 2
give 1
go 3
gone 1
group 1
groups 1
hand 1
handwriting 1
happen 1
happens 1
happiness 1
has 7
have 3
having 1
haw 22
he 13
heads 1
hearing 1
hem 11
here 1
him 4
himself 1
his 17
home 1
hope 1
hopes 1
hoping 1
however 1
humans 5
hunt 1
idea 1
if 2
in 9
including 1
indeed 1
inevitable 1
initially 1
inspects 1
inspired 1
intake 1
into 2
is 10
it 3
jots 1
keep 2
knocks 1
know 1
knowledge 1
lack 1
largest 1
later 1
learned 1
leaves 1
leaving 1
left 1
lengthy 1
let 2
life 1
littlepeople 1
live 1
long 1
look 1
looking 1
managed 1
maze 6
meanwhile 1
mentally 1
mice 2
mindset 2
miniature 1
monitor 1
more 1
move 4
moved 2
movement 1
moving 2
my 2
n 4
new 11
next 1
no 2
not 4
noticing 1
nourishes 1
now 1
of 17
off 1
often 1
old 4
on 7
one 6
only 1
other 1
own 2
paired 1
parts 1
past 1
perhaps 1
place 1
plagued 1
ponder 1
ponders 1
prepared 1
prevent 1
problem 1
process 1
proposal 1
proposes 1
quicker 1
quickly 2
ready 2
realize 1
realizes 3
realizing 2
reflects 1
refuses 1
regularly 1
remain 1
representation 1
representative 1
return 1
returning 1
routine 1
routines 1
same 2
savor 1
scurry 3
search 5
searching 1
see 1
seriously 1
set 1
setting 1
should 1
simply 1
situation 3
slowly 1
smell 1
smile 1
sniff 3
so 3
some 2
someone 1
sooner 1
starting 1
starved 1
station 13
still 3
stop 1
stops 1
strange 1
success 1
suddenly 1
supply 2
surprised 1
taking 1
task 1
taste 1
that 9
the 47
their 5
them 1
there 1
these 1
they 7
thing 1
thinking 2
thinks 1
this 1
to 21
together 1
too 1
trail 1
traveled 1
traveling 1
trek 1
two 2
uncompromising 1
unfairness 1
unknown 2
unprepared 1
unsure 1
upon 1
vanished 1
varieties 1
venture 1
victimized 1
waited 1
wall 5
way 3
werent 1
what 2
when 2
while 1
who 3
will 1
with 6
without 2
worry 1
worrying 1
would 1
writes 1
writings 1
you 9
your 1
