13871
/m/03lvx
/m/03lvx
Frank Herbert
1984
a 25
abilities 1
ability 1
able 2
aboard 1
about 3
above 1
accidentally 1
admits 1
advantage 1
again 1
against 1
agenda 1
agreement 1
all 1
alliance 2
allimportant 1
also 6
altering 1
ambushed 2
among 1
an 6
ancient 2
and 30
another 1
are 7
arrakis 1
arranges 1
arrive 1
arrives 1
as 4
assassinate 1
at 3
attack 3
attempt 1
attract 1
awaken 1
axlotl 1
be 1
becomes 1
been 4
before 3
beliefs 1
bene 19
between 1
bind 1
biological 1
bred 1
breed 1
bring 1
brings 1
built 1
but 6
by 6
called 2
can 2
cannon 1
capable 1
captive 1
captured 4
capturing 1
causes 1
changed 1
chapterhouse 1
civilization 1
close 1
collapsed 1
combat 1
command 1
companions 1
competitor 1
complex 2
conditioned 1
conditioning 1
consternation 1
contact 1
control 4
convinces 1
countryside 1
created 1
dancers 1
danger 1
darwi 1
daughter 1
deal 1
death 2
defeat 1
defense 1
dependent 1
desert 1
designed 1
destroy 1
destroying 2
detection 1
discover 2
discovered 1
discovers 1
divines 1
does 2
dominant 1
draws 1
drown 1
duncan 7
dune 1
during 1
economic 1
emperor 1
enables 1
ensuring 1
equal 1
escape 3
escaping 1
establishes 1
except 1
exhaustion 1
face 1
faction 1
feel 1
finally 2
finds 1
flees 1
flow 1
for 4
forced 1
forces 3
from 1
full 1
gain 2
galaxy 1
gammu 1
gesserit 16
ghola 3
gholas 2
giant 2
girl 1
giving 1
god 1
goes 1
great 1
guard 1
half 1
harkonnen 1
has 5
have 6
he 6
head 1
held 1
her 5
hidden 1
him 5
himself 1
his 5
honored 11
hoping 1
hostage 2
house 2
however 4
hugely 1
idaho 9
imprint 1
imprinter 1
imprinting 1
in 9
infiltrates 1
insist 1
intends 1
intervention 1
into 5
invisible 1
invite 1
is 15
issue 1
it 4
ixian 1
ixians 1
keep 1
kicks 1
killing 1
knock 1
know 1
known 1
knows 1
last 1
leader 3
leading 1
learned 1
leaving 1
leto 1
lever 1
life 1
loads 1
locating 1
loose 1
love 1
loyalty 1
lucilla 9
made 2
manages 1
manipulators 1
mankind 1
manufacture 1
master 1
matre 2
matres 10
matriarchal 1
meantime 1
meet 1
meeting 2
melange 1
memories 1
men 1
mental 1
method 1
miles 1
millennium 1
mixture 1
modern 1
most 1
mother 4
much 1
murbella 4
must 1
new 4
noglobe 1
normal 1
noship 3
noships 1
not 1
now 1
obey 1
odrade 8
of 25
offers 1
on 13
one 2
only 1
onslaught 1
operation 1
order 1
original 1
out 2
outside 1
over 1
overwhelms 1
own 2
party 2
peculiar 1
people 1
physical 2
piloting 1
plan 1
planet 4
political 1
possess 1
powerful 1
powers 2
pressed 1
pressure 1
prevented 1
proceeds 2
prohibitions 1
project 2
rage 1
rakis 10
reactions 1
realizes 1
reappeared 1
reflexes 1
religious 2
renewed 1
rescue 1
rescues 1
responds 1
resulting 1
returning 1
reverend 2
risen 1
safe 2
same 2
sandrider 1
sandtrout 1
sandworms 2
scattering 3
schwangyu 1
searching 1
secret 1
seduce 1
sends 1
sent 1
sexual 2
shares 1
she 2
sheeana 5
ship 1
since 1
sisterhood 4
so 1
society 1
soon 1
space 1
speed 1
spice 5
standards 1
stars 1
starts 1
subtle 1
subtly 1
suicidal 1
superhuman 1
superior 2
supposed 1
system 1
tables 1
take 1
taken 3
takes 1
talents 1
tanks 1
taraza 12
technique 1
teg 13
tell 1
temporary 1
that 5
the 77
their 7
them 2
then 1
these 1
they 4
this 2
three 1
thus 1
tie 1
time 2
tleilax 3
tleilaxu 3
tleilaxuprovided 1
to 31
tortured 1
tprobe 1
trained 1
training 1
tries 1
trillions 1
troops 1
turn 2
turning 1
ultimately 1
unconscious 1
under 1
understand 1
unleashes 1
up 3
upon 1
use 1
violent 1
waff 3
water 1
what 1
when 2
which 3
while 1
who 7
whose 1
will 2
with 13
within 1
women 1
worm 3
worms 1
worship 1
would 1
young 1
zensunni 1
