2932805
/m/08djyy
/m/08djyy
Theodore Judson

{"/m/06n90": "Science Fiction", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 3
academian 1
alexander 1
allows 1
an 1
and 1
as 3
autobiography 1
bigoted 1
brigadier 1
bruce 3
buren 1
by 2
career 1
century 2
chronicles 1
closely 1
confederacy 2
consul 1
criticizes 1
edited 1
fictional 1
fitzpatrick 2
form 1
general 1
great 1
history 1
isaac 1
learn 1
life 1
lord 1
mayfair 1
modesty 1
novel 1
of 8
official 1
parallels 1
professor 1
prophet 1
prudish 1
purported 1
reader 1
revisionist 1
robert 1
roland 1
simultaneously 1
sir 1
soldier 1
story 1
style 1
takes 1
that 1
the 10
this 1
to 1
twentyfifth 1
twentysixth 1
unique 1
van 1
version 1
well 1
whose 1
work 1
yukon 2
