318937
/m/01v7rw
/m/01v7rw
William Shakespeare


a 13
about 1
abuses 1
accompanies 1
achilles 8
after 2
afternoon 1
agamemnon 1
agree 1
agrees 1
ajax 3
and 22
another 1
argues 1
army 1
around 1
arrives 1
as 2
asks 1
assisted 1
authority 1
away 1
back 3
be 2
become 1
bed 1
bedchamber 1
been 1
behavior 1
body 1
bring 1
brings 2
brought 1
but 3
by 4
calchas 2
camp 3
catches 1
challenge 1
city 1
combat 2
commanders 4
comrade 1
consummate 1
continue 2
crafty 1
cressida 7
crosses 1
daughter 2
day 2
debate 1
decides 1
defeat 1
defected 1
diomedes 2
dismaythe 1
downcast 1
drags 1
draw 1
drive 1
end 1
ends 1
everyone 1
exchange 2
fallen 1
falls 1
father 2
feast 1
field 1
fight 4
finally 1
flag 1
fool 1
for 3
forever 1
foulmouthed 1
from 5
furious 1
gang 1
general 1
goes 1
greatest 2
greek 8
greeks 3
has 2
have 1
he 4
headstrong 1
heartbroken 1
hector 11
helen 1
her 2
hero 1
hiding 1
him 4
his 11
honored 1
hopes 1
impassioned 1
in 10
informs 1
instead 2
insults 1
into 2
is 7
it 1
killed 1
king 1
lack 1
later 1
leads 3
lord 1
love 2
lover 2
made 1
master 1
may 1
meanwhile 3
mocking 1
morningto 1
mourn 1
named 2
next 3
night 1
of 12
one 1
over 2
pandarus 2
path 1
patroclus 2
peace 1
pessimistic 1
play 1
pledge 1
premonitions 1
priam 1
pride 1
priest 2
prince 3
prisoner 1
pursuit 1
refuses 1
respect 1
retreating 1
return 1
reunited 1
seem 1
seventh 1
shortly 1
should 1
side 1
single 2
sister 1
sitting 1
slaughters 1
slave 1
snub 1
so 2
sons 1
spends 1
spite 1
spring 1
struggle 2
sulking 1
superiors 1
takes 1
tent 2
that 5
the 40
their 2
them 1
then 1
thereafter 1
thersites 1
they 2
this 1
time 1
to 20
together 2
trade 1
treacherous 1
troilus 8
trojan 8
trojans 1
troubles 1
troy 3
truce 1
true 1
ulysses 3
unable 1
unarmed 1
uncle 1
under 1
unhappy 1
vengeful 1
walls 1
wants 1
war 3
waror 1
warrior 2
warriors 2
watches 1
where 1
whether 2
which 1
who 4
why 1
wife 1
will 1
wise 1
with 6
won 1
wonders 1
worthwhile 1
wound 1
year 1
