2608809
/m/07rfsc
/m/07rfsc
Thomas More
1516
10 1
1507 1
15mile 1
16 1
200 1
24 1
54 1
6000 1
a 27
ability 1
ablebodied 1
about 1
access 1
according 1
achieve 2
achieved 1
act 1
actual 1
addition 1
administrators 1
adultery 1
adults 1
advising 1
affecting 1
after 2
again 1
agriculture 1
aid 1
alehouses 1
all 10
allocated 1
allow 2
allowed 2
alphabet 1
already 1
also 6
alternatively 1
although 3
amaurot 1
amerigo 1
an 2
ancestorworshipers 1
and 35
announcement 1
antwerp 2
any 3
apparel 1
apply 1
are 37
around 2
arts 1
as 10
astrology 1
at 4
atheists 1
away 1
ballot 1
banished 1
be 4
because 1
become 2
been 2
beginning 1
begins 1
behave 1
behaviour 1
being 4
beliefs 1
believe 1
best 2
better 1
between 4
bleeding 1
bloodshed 1
book 1
brazil 1
break 1
bribing 1
busleyden 1
but 7
buying 1
by 6
cabo 1
called 2
can 1
capital 1
capture 1
carpentry 1
case 1
celibacy 1
chains 1
chamber 1
channel 1
charles 1
children 1
chose 1
christianity 1
cities 1
citizen 1
citizens 4
city 4
clerk 1
clothes 1
colonies 2
colonists 1
commodities 1
common 1
communications 1
communistic 1
community 3
conducting 1
confess 1
consisting 1
contains 1
contemplate 1
contemporary 1
continent 1
convince 1
convinced 1
correspondence 1
coughed 1
could 1
counsel 1
counselor 1
countries 2
country 1
countryside 1
court 1
crescent 1
criminals 3
criticises 1
customs 1
danger 1
day 2
de 1
deliberate 1
deliberately 1
denied 1
deposed 1
despised 1
different 1
difficult 1
dining 1
directly 1
discouraged 1
discovery 1
discuss 1
discussions 1
disgrace 1
dislike 2
divided 1
divorce 1
do 2
does 1
doing 1
done 1
doors 1
doubt 1
down 1
dressmakers 1
dug 1
during 3
duty 1
each 4
education 1
effect 1
either 1
elect 2
elected 1
enclosing 1
enclosuremdashthe 1
encouraged 2
endeavours 1
enemies 1
enforced 1
engage 1
enshrined 1
enslavement 1
equal 1
eradicated 1
erroneous 1
error 1
essential 1
europe 1
euthanasia 1
even 1
every 5
exact 1
execution 1
expediency 1
explain 1
explains 1
explores 1
farming 2
feature 1
fed 1
feeding 1
feel 1
fettering 1
few 1
fictional 1
fight 1
finally 1
find 1
finds 1
fine 1
first 5
five 1
flawed 1
food 1
for 16
foreign 1
found 1
founder 1
four 2
free 1
freedom 1
friendly 1
frio 1
from 6
fruitless 1
full 1
further 2
gain 1
gambling 1
gatherings 1
gilles 1
give 1
given 2
gives 1
going 1
gold 2
gone 1
good 4
goods 1
governance 1
grouped 1
had 3
halls 1
has 2
have 6
he 10
healthy 1
him 1
himself 1
his 5
hold 1
hoping 1
hospitals 1
hours 1
household 3
households 3
houses 1
how 1
however 4
hunting 1
husbands 3
hythloday 1
ideas 1
if 6
ills 1
importance 1
important 1
in 31
include 2
innovations 1
instance 1
internal 1
into 2
introduced 1
invited 1
is 28
island 9
it 12
its 1
jerome 1
jewels 1
job 3
keep 1
keeping 1
kill 1
king 1
kings 2
knows 1
lack 1
land 3
landmdashand 1
latitude 1
law 1
laws 1
lawyers 1
lays 1
learn 2
learning 1
least 1
leave 1
left 1
leisure 1
length 1
letters 3
liberal 1
life 5
lifetime 1
like 2
links 1
listened 1
little 1
