19806349
/m/04q27j9
/m/04q27j9
Michael Connelly
2008-10
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 19
accident 1
accused 1
acquaintance 1
acquittal 1
actually 2
addicted 1
addiction 2
admits 1
after 3
again 1
against 1
also 2
among 1
an 2
and 16
another 1
arrangement 1
arrest 1
arrive 1
arrives 1
as 4
asking 1
assistant 1
assisted 1
assumes 1
at 2
attacked 1
attacker 1
attempts 1
attorney 2
back 1
based 1
be 1
because 1
becomes 3
been 3
before 1
begins 1
behind 2
being 1
believes 1
between 1
book 1
bosch 6
both 1
bribed 1
brought 1
but 3
by 8
call 1
called 1
car 1
case 3
caseload 1
cases 1
champion 1
character 1
charges 1
cisco 1
client 2
come 1
confesses 1
confronts 1
connelly 2
cooperate 1
corruption 1
counsel 1
couple 1
day 1
days 1
defend 1
defense 1
detective 1
diamond 1
diamonds 1
did 1
discovered 1
dispensed 1
doublemurder 1
doubt 1
drive 1
due 1
during 1
earlier 2
elliott 7
else 1
employs 1
end 1
ensures 1
evening 1
events 1
evidence 2
exwives 1
fact 3
family 1
father 1
fbi 1
feels 1
figures 1
finds 1
for 4
former 2
found 1
franchise 1
friend 1
from 3
genuine 1
german 2
germany 1
get 1
go 1
going 1
gunshot 1
halfbrother 1
haller 18
halt 1
hands 1
harry 1
has 5
have 2
having 1
he 14
help 2
her 5
highprofile 1
him 4
himself 1
his 12
history 1
hollywood 1
home 1
however 1
hunch 1
identity 1
in 12
includes 1
information 2
inherits 1
investigating 1
investigation 2
investigator 1
involved 1
is 16
it 2
jerry 2
judge 2
jurors 1
jury 1
juryman 1
just 2
justice 1
keep 1
kill 1
killer 1
known 1
lapd 1
law 1
lawyer 3
leading 1
learns 1
left 1
legal 1
lincoln 1
lingering 1
lorna 1
lover 5
made 1
mafia 1
main 1
mainly 1
man 2
manages 1
maverick 1
may 1
meantime 1
meanwhile 2
meet 1
member 1
men 2
mickey 1
mitzi 5
mogul 2
murder 4
murdered 3
murderer 1
murdering 1
necklace 1
next 1
nine 1
no 1
not 2
novel 1
novels 2
observing 1
obtain 1
of 18
off 2
office 1
old 1
on 11
one 2
ongoing 1
or 1
out 4
outcome 1
over 1
own 2
painkillers 2
patrick 3
person 1
persuades 1
persuading 1
plant 1
planted 1
playing 1
point 1
police 2
pondering 1
postponement 1
practice 1
precipice 1
prepares 1
prevent 1
previous 2
prisoner 1
process 1
promising 1
push 1
puzzle 1
receives 1
recuperating 1
regardless 1
relatives 1
reluctant 1
resemblances 1
residue 1
result 1
resulting 1
return 1
revealed 1
rust 1
scene 2
secretary 1
secures 1
seek 1
selfdoubts 1
senior 1
several 1
shakes 1
she 1
since 1
someone 2
sorry 1
spent 1
start 1
stolen 3
strategy 1
strength 1
subsequent 1
surfing 2
suspicious 2
takes 1
team 1
that 15
the 49
their 1
they 1
this 3
three 1
throws 1
time 1
to 25
transport 1
travelled 1
trial 4
turns 1
two 2
unknown 1
used 1
vincent 6
walter 4
warning 1
was 1
way 1
were 1
when 3
whether 1
which 2
while 2
who 5
wife 2
with 2
works 2
would 1
wounds 1
written 1
year 1
young 1
