16995033
/m/0414y3x
/m/0414y3x
Michael Buckley
2006-05
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
4 1
a 19
about 5
accidentally 1
addicted 2
after 7
again 1
alexander 1
all 1
already 1
alters 1
always 1
an 3
ancient 1
and 30
announces 1
are 1
as 6
asleep 1
asylum 2
at 4
attacks 3
attention 1
away 1
baba 2
back 5
be 6
because 2
becomes 1
bed 1
began 1
begins 1
being 2
believes 1
blade 3
blue 4
book 1
brother 1
built 1
burns 1
but 5
by 3
called 1
can 1
cannibal 1
cared 1
cares 2
celebration 1
ceremony 1
challenged 1
changes 1
chaos 1
charming 2
child 3
clear 1
clue 1
clues 1
comes 1
comfort 1
complains 1
confronted 1
connecting 1
continues 2
could 2
crime 1
criminal 1
daphne 7
dead 2
deep 1
despair 1
discovers 2
disguised 1
dislikes 1
distracted 1
distributed 1
divided 1
down 1
drive 2
during 1
election 1
else 1
escape 2
escapes 1
everafter 1
everafters 1
everyone 2
evil 1
explains 1
fairy 6
fallen 1
family 3
far 1
fat 1
feared 1
feelings 1
ferocious 1
ferryport 1
few 1
fight 2
files 2
find 1
finding 1
finds 2
first 1
following 1
food 1
for 8
forced 1
forces 1
freaks 1
from 1
gave 1
get 4
gets 2
getting 1
girl 1
give 1
gives 3
go 1
goes 1
got 1
grandmother 1
granny 3
grant 1
great 1
grimm 3
had 7
hand 1
happy 1
has 1
have 1
he 12
heal 1
hearts 1
henry 1
her 14
him 8
hold 2
hood 5
hopes 1
hospital 1
house 2
how 3
however 2
hugely 1
hugs 1
i 1
ideas 1
immortal 1
implied 1
in 9
injured 1
injuries 1
instead 1
into 4
investigating 1
is 14
it 4
jabberwocky 6
jacob 4
jake 6
journals 1
just 2
kidnapped 2
kidnapper 1
kidnapping 1
kill 3
killed 1
kiss 2
kitten 1
know 3
known 1
landing 1
later 3
left 1
little 3
look 1
lost 2
magic 2
make 1
man 2
many 2
may 1
mayor 2
medical 1
mended 1
mentally 1
mentioned 1
mermaid 1
met 2
middle 1
monster 3
more 1
morning 1
much 1
must 1
mysterious 2
name 1
narrow 1
newly 1
night 3
not 2
nowhere 1
object 1
of 10
off 1
old 1
on 3
once 3
one 1
only 2
opening 1
other 1
out 6
parents 5
part 1
past 1
people 2
person 1
piece 1
pieces 3
places 1
plants 1
pops 1
portal 1
pouting 1
power 2
powers 2
prince 1
problem 1
puck 10
pucks 1
punching 1
puzzle 1
queen 1
red 5
regrets 1
relda 3
remaining 1
restaurant 1
riding 5
rips 1
room 1
ruin 1
ruins 1
rumored 1
sabrina 23
save 1
saving 1
say 1
scarlet 1
school 1
search 2
seek 1
seems 2
sending 1
sends 1
separate 1
she 15
show 1
sisters 1
sleeping 1
slugging 1
smart 1
sneaks 1
so 2
some 1
son 1
speech 1
stomach 1
suddenly 1
supposed 1
sword 2
take 3
tells 1
that 17
the 54
their 2
them 2
then 3
they 7
thing 1
things 1
thinking 3
this 1
thought 1
three 2
through 1
title 1
to 31
together 1
topsider 1
trapped 1
travel 1
tries 1
trouble 1
true 1
trying 1
turned 1
turning 1
turns 2
two 2
uncle 6
uncovers 1
unfortunately 1
unknown 1
up 1
upon 1
used 1
uses 1
vicious 1
vorpal 2
waitress 1
wakes 1
wanting 1
wants 1
was 7
weaker 1
welcome 1
went 1
were 2
what 1
when 2
where 6
which 4
while 1
who 6
whole 2
will 1
wings 1
wish 3
wishes 2
witch 1
with 6
woken 1
yaga 2
you 2
youre 2
youve 1
