15559635
/m/03mf3t5
/m/03mf3t5
Cristina García
2003-04-15
{"/m/05hgj": "Novel"}
1857 1
a 2
an 1
and 1
as 3
be 1
boy 1
can 1
chen 3
china 1
chinese 1
cuba 2
doctor 1
domingo 1
educated 1
enlists 1
enslaved 1
family 1
fang 1
father 2
fight 1
find 1
follows 1
generations 1
granddaughter 1
greatgrandgrandson 1
has 1
he 1
her 1
himself 1
his 2
in 3
indentured 1
is 1
leaves 1
moves 1
novel 1
of 2
on 1
one 1
only 1
pan 2
promise 1
raised 1
returned 1
she 1
so 1
states 1
success 1
that 1
the 3
three 1
to 5
unbeknownst 1
united 1
vietnam 1
where 1
who 4
with 1
worker 1
