1172256
/m/04d9vr
/m/04d9vr
Yasunari Kawabata
1935
{"/m/05hgj": "Novel"}
a 13
about 1
affair 1
alone 1
already 1
amateurpracticing 1
an 1
and 8
artistically 1
as 1
available 1
ballet 1
be 1
beauty 1
become 1
being 1
between 2
book 1
brief 1
broadcasts 1
but 1
by 4
careers 1
caring 1
comments 1
companionship 1
conception 1
counterwestern 1
country 2
did 1
dilettante 1
doesnt 1
doomed 1
downward 1
during 1
economy 1
embodies 1
ended 1
enjoyed 1
even 1
expert 1
failure 2
fascinated 1
faze 1
female 1
form 1
forms 1
from 1
geisha 4
geishanot 1
gentleman 1
girl 2
groups 1
had 2
happy 1
having 1
he 6
her 4
here 1
him 1
himself 1
his 6
home 1
hones 1
hot 3
if 1
in 7
inevitably 1
influence 1
inns 1
instrument 1
is 7
it 2
japanese 2
just 1
kawabata 2
knew 1
komako 4
kyoto 1
liaison 1
like 1
little 1
loner 1
love 1
lover 1
male 1
man 2
married 1
men 1
mention 1
modernity 1
more 3
most 1
mountains 1
music 1
name 1
named 1
nature 1
no 1
not 1
nothing 1
novel 2
of 12
off 1
on 5
onsen 1
ordinary 1
others 1
paid 1
parts 1
place 1
played 1
potent 1
prostitutes 1
protagonist 1
provincial 1
public 1
publishing 1
radio 1
real 1
region 1
relying 1
remote 1
rural 1
samisen 1
scores 1
see 1
sees 1
selfappointed 1
she 1
sheet 1
shimamura 2
sick 1
sisters 1
snow 2
social 1
spiral 1
spring 1
springs 2
staple 1
stark 1
status 1
stay 1
subverting 1
symbol 1
takes 1
taking 1
tale 1
teacher 1
technique 1
than 1
that 5
the 21
their 1
theme 1
thinking 1
this 1
though 1
thus 1
to 6
tokyo 2
town 3
traditional 3
train 1
trained 1
traveling 2
untraditionally 1
usually 1
visited 1
wants 1
way 2
wealthy 1
were 2
western 2
where 1
while 1
who 2
whose 1
with 4
would 1
yoko 2
young 1
yuzawa 1
