142161
/m/011x61
/m/011x61
E. Nesbit
1906
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
15 1
a 8
able 1
about 1
accused 1
affair 1
after 1
albert 1
amalgam 1
amusement 1
an 2
and 10
as 1
at 1
author 1
beautiful 1
become 1
been 1
before 1
being 2
bobbie 1
book 2
both 1
broken 1
by 3
came 1
care 1
children 2
chimneys 1
concerns 1
dissidents 1
down 1
dreyfus 1
england 1
espionage 1
eventually 1
exile 2
falsely 2
family 4
father 2
few 1
finally 1
find 1
for 3
foreign 1
friendly 1
friends 1
gentleman 2
grandson 1
have 1
he 1
help 2
helped 1
his 1
house 1
how 1
imprisoned 2
in 2
influenced 1
innocence 1
innocent 1
is 3
item 1
jim 1
kropotkin 1
later 1
leg 1
likely 1
line 1
located 1
looking 1
man 1
might 1
most 1
move 1
mr 1
near 1
nearby 1
news 1
of 7
office 1
old 2
on 1
passengers 1
people 1
perks 1
persecuted 1
peter 2
phil 1
phyllis 1
poor 1
porter 1
prominent 1
prove 1
railway 2
reallife 1
regularly 1
result 1
reunited 1
roberta 1
russian 2
russians 1
secrets 1
selling 1
sergius 1
state 1
station 1
stepniak 1
story 1
subsequently 1
suffers 1
szczepansky 1
take 1
takes 1
the 25
their 1
them 1
theme 1
they 1
three 2
to 6
train 1
trains 1
tsars 1
tunnel 1
vindicated 1
was 3
watching 1
waving 1
were 1
which 1
who 6
with 2
works 1
worldwide 1
writing 1
written 1
years 1
