11560951
/m/02rj654
/m/02rj654
Peter Robinson
1989
a 5
also 1
among 1
an 5
and 1
antinuclear 1
appointment 1
are 1
artist 1
as 2
astrologer 1
at 2
background 1
banks 3
bankss 1
beating 1
behind 1
boyd 1
burgess 2
but 1
by 2
can 1
career 1
case 2
confrontation 1
cope 1
cotton 1
daleside 1
death 1
delacey 1
demonstration 1
dennis 1
detective 1
dick 1
dirty 1
down 1
drifter 1
eastvale 1
enemy 1
enough 1
erupts 1
far 1
farm 1
final 1
finally 1
finds 1
first 1
for 1
freedom 1
friend 1
full 1
fuller 1
girlfriend 1
hampered 1
hardacre 1
head 2
high 1
his 4
house 1
hundred 1
if 1
in 1
inspector 1
investigation 1
involved 1
is 2
isnt 1
isolated 1
jenny 1
killer 1
leanings 1
leaving 1
live 1
maggies 1
mara 1
marxist 1
most 1
narrow 1
of 1
off 1
old 1
on 2
one 1
only 1
osmond 1
over 1
owner 1
paul 1
people 1
pieces 1
policeman 1
politicallymotivated 1
quiet 1
richard 1
rick 1
salvage 1
seth 1
so 1
social 1
stabbed 1
story 1
strong 2
superintendent 1
suspects 2
the 11
then 1
there 1
things 1
this 1
to 5
together 1
tragic 1
trelawney 1
two 1
violence 1
violent 1
warned 1
way 1
who 1
with 4
worker 1
young 1
zoe 1
