5804783
/m/0f5w52
/m/0f5w52
Poul Anderson
1956
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
a 8
able 1
aboard 1
accompany 1
act 1
admits 1
after 4
aliens 4
all 1
also 1
altogether 1
america 1
among 1
an 1
and 15
appears 1
are 6
arrival 1
as 4
assigned 1
astronomer 1
at 5
avery 7
bad 1
base 1
be 1
been 1
began 1
between 1
breaks 1
build 1
but 1
by 3
called 1
camp 1
chaos 1
charter 1
claims 1
clique 1
colonization 2
conclusion 1
confronts 1
conquest 1
conspiring 1
construction 1
conversations 1
cost 1
crew 1
days 1
deceive 1
deception 1
delays 1
deliberately 1
determine 1
determined 1
difficult 2
difficulties 1
discovered 1
discovery 1
drive 1
earth 2
earthlike 1
eavesdropping 1
edward 1
effort 1
eighteen 1
ended 1
enthusiasm 1
era 1
established 1
eventually 1
expand 1
expedition 7
extremely 1
fasterthanlight 1
feel 1
fight 1
finally 1
find 1
first 2
for 4
from 2
galaxy 1
give 1
government 1
group 4
hampered 1
harmful 1
harmony 1
has 1
have 1
he 4
help 1
henry 1
him 1
his 2
hudson 4
humanity 3
humans 3
if 1
iii 1
in 1
including 1
institute 2
intelligent 1
interned 1
interstellar 3
into 1
invite 1
is 17
isnt 2
it 3
its 1
john 1
lagrange 2
language 2
later 1
learn 1
learned 1
least 2
limits 1
listens 1
lorenzen 7
lunopolis 1
maintain 2
mars 1
may 1
members 2
microorganisms 1
mount 1
must 1
native 3
nearly 1
news 1
no 2
north 1
not 2
of 15
off 1
on 2
one 2
only 1
opened 1
other 1
out 1
outright 1
overruns 1
own 1
plagued 1
planet 1
planets 1
pleads 1
psychomed 3
reach 1
ready 1
realizes 1
recovering 1
recruited 1
refuses 1
reports 1
returning 1
rises 1
rorvan 6
sabotage 1
second 2
settlement 2
ship 1
since 2
small 1
solar 2
soviet 1
species 1
starship 1
stifling 1
still 1
system 2
tension 1
that 9
the 42
their 2
them 1
there 1
they 3
this 2
through 1
time 2
to 22
trace 1
travel 4
troas 9
troubled 1
twentytwo 1
twocenturylong 1
unable 2
understand 2
unification 1
up 1
upon 1
venus 1
voyage 1
waning 1
wants 1
war 3
were 1
when 1
who 1
with 6
within 1
world 2
years 1
