3202072
/m/08yzf5
/m/08yzf5


{"/m/06n90": "Science Fiction"}
200 1
a 10
abyss 1
after 1
again 1
aid 1
air 2
alien 2
all 3
almost 1
also 1
altered 1
and 10
any 1
apart 1
aquamorphs 1
aquatic 1
aquatics 1
are 1
as 2
at 2
atmosphere 1
barely 1
be 1
became 1
become 1
been 1
begins 1
bodies 1
body 1
book 1
bottom 1
breathe 1
bred 1
building 1
built 1
can 1
carry 1
cattle 1
changed 1
changes 1
cities 1
city 1
civilization 2
collapses 1
colonial 1
colonize 1
connection 1
construction 1
content 1
continues 1
covered 1
create 1
created 1
creatures 1
cybernetic 1
cyborgtechnology 1
deepsea 1
degrade 1
dependent 1
descendant 1
descendants 1
developed 1
dramatically 1
driven 1
earth 5
engineered 2
engineering 1
era 1
escaping 1
even 3
eventually 3
evolution 1
evolve 1
evolved 1
extinction 1
eyes 1
face 1
farmed 1
farmers 1
fell 1
few 2
find 1
fishers 1
fishing 1
five 1
following 1
for 3
forms 2
from 1
fuse 1
genetic 2
genetically 3
geneticallyaltered 3
genetics 1
giant 1
gills 1
has 1
hitek 2
horselike 1
hot 1
human 2
humans 18
imminent 1
impact 1
implied 1
in 7
include 1
instead 1
into 1
invaders 2
is 1
it 1
its 2
jungle 1
keep 1
lab 1
left 3
life 4
like 1
longer 1
low 1
lungs 1
magnetic 2
man 2
manufactured 1
many 1
marine 1
men 1
million 1
modern 2
modification 1
modifications 1
morphed 1
mounts 1
must 3
natural 2
naturally 1
new 4
niches 1
no 1
nowextinct 1
oases 1
occupy 1
oceans 1
of 11
on 3
once 1
one 1
or 1
other 3
otterlike 1
oxygen 2
parasitic 1
parent 1
perished 1
phenomenon 1
pigs 1
piscanthropus 1
piscathropus 1
planet 2
prairie 1
predatory 1
pressure 1
profundis 1
profundus 1
recolonize 1
reproductive 1
respiration 1
resulted 1
retreated 1
returned 2
reversal 2
ruins 1
sabertoothed 1
select 1
selection 1
serve 1
shields 1
simple 1
since 1
single 1
skin 2
slothlike 1
slothman 1
so 1
socials 1
some 1
space 3
spacefaring 1
species 8
spiketeeth 1
springs 1
stable 1
surface 1
systems 1
tanks 1
technology 1
temperate 1
terrestrial 1
that 4
the 28
then 2
these 1
they 2
this 2
through 1
thus 1
tiny 1
to 8
totally 1
tundradwelling 1
tweaked 1
underwater 1
uninterrupted 1
use 1
useful 1
vacuum 1
vacuumorph 1
vast 1
was 3
were 3
with 9
without 1
woodland 1
world 2
would 1
xenoformed 1
years 2
