32685731
/m/0h3s9cc
/m/0h3s9cc
Richard Dawkins


185 1
4 1
a 12
abduction 1
aboriginal 1
accepted 1
across 1
act 1
acts 1
addresses 1
admits 1
advanced 1
alien 1
all 3
almost 1
also 1
although 1
altogether 1
ancestors 1
ancient 1
and 11
any 4
anything 1
are 3
argument 1
arranged 1
as 12
ash 1
at 6
atomic 1
attempts 1
aztec 1
babylonian 1
back 2
be 6
beauty 1
begin 1
behind 1
being 1
believed 1
between 1
beyond 1
bigger 1
biology 2
birth 1
bounds 1
by 2
cannot 1
capacity 1
carriage 2
carriages 1
cases 1
chaos 1
chapter 3
chapters 3
childhood 1
chinese 1
chosen 1
cinderella 1
claimant 1
claims 3
complete 1
complex 2
composition 1
contemporaries 1
contemporary 1
continue 1
continues 1
cottingley 1
cover 1
creation 1
critique 1
cycles 1
date 2
david 1
dawkins 11
declares 1
declines 1
deemed 1
delve 1
demark 1
difference 1
differences 1
direct 1
discussion 1
divinely 1
down 1
egyptian 1
either 1
emerged 1
equipment 1
evolution 1
evolutionary 2
example 1
examples 1
exception 1
exempt 1
existed 1
exobiology 1
experience 1
explain 2
explains 1
expressed 1
failed 1
fairies 1
fairy 1
familiar 1
family 1
far 1
featureless 1
fiction 1
first 1
fish 1
foggy 1
for 1
form 1
from 6
ftima 1
fun 1
fundamental 1
fundamentally 1
gene 1
generation 2
generations 3
gives 1
god 1
godmother 1
grandfather 1
gravitation 1
greatgrandfather 1
growing 1
happen 1
hatch 1
having 1
he 2
hellenic 1
his 6
historical 1
human 2
humanbut 1
hume 1
hybrids 1
hypothetically 1
if 3
illustrate 1
impossible 1
in 10
inadequate 1
includes 1
including 1
initial 1
inspired 1
internal 1
into 2
intricately 1
invention 1
involves 1
is 6
it 1
its 2
japanese 1
judeochristian 1
just 1
kind 1
knowledge 1
lady 1
large 1
last 1
level 1
life 1
likely 1
looked 1
looking 2
lying 1
magical 1
magically 1
magnification 1
make 1
makebelieve 1
male 1
many 1
maori 1
mechanics 1
mechanism 1
mention 1
million 1
millions 1
minute 1
miracle 4
mistaken 1
more 2
most 3
motion 1
much 4
mules 1
myth 1
mythic 1
mythology 2
myths 3
narratives 1
next 2
no 1
nordic 1
not 2
objects 1
observed 1
of 23
offspring 1
often 1
oldest 1
omits 1
on 3
once 1
one 8
onetime 1
only 1
opening 1
optical 1
optics 1
or 5
order 1
organization 1
organized 1
origin 1
other 1
our 1
out 1
outside 1
over 1
parents 1
particular 1
parts 1
peoples 1
perceive 1
performed 1
person 1
phenomena 5
philosopher 1
photographs 2
physical 1
picture 4
pictureslooking 1
pile 1
planetary 1
plate 1
point 2
points 1
possess 1
presents 1
primitive 1
prior 1
psychology 1
pumpkin 2
pumpkins 1
quantum 1
quick 1
randomly 1
range 1
rather 1
reality 2
really 1
reason 1
reassembled 1
recalls 1
reproducing 1
result 1
retellings 1
revisits 1
sacred 1
same 1
saying 3
says 1
separation 1
seriously 1
set 1
sexually 1
should 1
sludge 1
small 1
so 1
socalled 1
some 2
speciation 1
species 2
spectroscopy 1
speculation 1
standard 1
stellar 1
stresses 1
stretching 1
subsequent 1
subsequently 1
such 7
symbolic 1
tectonics 1
term 1
territory 1
texts 2
than 3
that 13
the 26
theory 1
there 2
these 2
they 1
this 3
those 1
thoughts 2
thousands 1
time 1
to 17
topic 1
topics 1
traditions 1
transgressive 1
turn 1
two 2
unbroken 1
understanding 1
unknown 1
unviable 1
up 1
used 1
useful 1
uses 1
various 1
very 1
was 2
well 1
were 1
when 1
why 1
with 4
world 1
would 5
written 1
young 1
youngest 1
