65169
/m/0hb7d
/m/0hb7d
William Shakespeare
1623
a 18
abandoning 1
above 1
accedes 1
account 1
accuses 1
action 1
actium 1
admires 1
advantage 1
affirms 1
after 3
afterlife 1
again 2
against 3
age 1
ages 1
agrees 1
aid 1
aides 1
alexandria 3
alexandrian 1
alive 1
all 1
along 1
also 3
an 1
and 40
angrily 2
angry 1
another 1
antithesis 1
antony 35
appetites 1
arms 1
army 1
as 3
ashamed 2
ask 1
asp 1
assure 1
at 4
attempts 1
awaits 1
back 5
bad 1
battle 5
be 4
bear 1
because 1
become 1
begs 2
beguiled 1
behaviour 1
being 2
betrayed 3
better 1
between 1
bodies 1
bond 1
boy 2
break 2
brings 2
broken 1
brought 1
buried 1
but 10
by 9
calls 1
calmly 1
can 3
cannot 2
celebration 1
cement 1
charmian 1
charms 1
claims 2
cleopatra 22
clip 1
cloy 1
come 1
comedians 1
complete 1
confiscating 1
conflicting 1
confrontation 1
content 1
courage 1
courtiers 1
coward 1
crowns 1
custody 1
custom 1
dared 1
dead 2
deaths 1
decides 2
deep 2
delineates 1
demand 1
denounces 2
depict 1
deserts 1
did 1
died 1
dies 3
discovers 1
dishonourable 1
disloyalty 1
displeased 1
do 2
does 1
dolabella 1
domestic 1
done 2
dramatic 1
drunken 3
duties 1
dying 1
earth 1
eastern 1
ecstatically 1
egypt 4
egyptian 1
elizabethan 1
else 1
emotions 1
emperor 1
empire 1
engage 1
enobarbus 6
eros 3
eve 1
even 1
eventually 2
ever 1
experiences 1
extemporally 1
fact 1
fails 1
fair 1
famous 2
feed 1
feels 1
fight 5
finding 1
first 1
fled 1
flee 1
flees 1
fleet 2
flirts 1
follows 1
for 8
forgives 1
former 1
forth 1
forward 1
foul 1
free 1
friendly 1
from 2
full 1
fulvia 1
funeral 1
furious 2
furthermore 1
galley 1
general 1
generosity 1
give 2
gives 1
giving 1
go 1
god 1
goes 3
goods 1
grave 1
great 1
greatness 1
grows 1
hair 1
has 6
hath 1
he 28
hear 1
heart 1
help 2
her 28
hercules 1
herself 3
hesitates 1
hesitation 1
him 12
himself 4
his 13
hoisted 1
holding 1
homely 1
how 1
however 1
hungry 1
i 2
idea 1
if 1
ignores 1
imagine 1
imagines 1
imagining 1
imprisoned 1
in 20
including 1
indeed 1
infinite 1
instead 1
intends 1
interested 1
interpret 1
into 1
iras 1
irony 1
is 19
it 4
kill 4
killed 1
kills 1
kind 1
kiss 1
knows 1
land 2
lands 1
later 1
learns 2
leave 1
leaves 1
leaving 1
led 1
lepidus 3
lieutenant 2
life 1
lighter 1
lips 1
living 1
locks 1
longer 1
longserving 1
lose 1
loses 1
love 4
lowbrowed 1
maids 1
make 1
makes 1
making 1
manned 1
mark 1
marriage 1
marry 1
me 3
mediterranean 1
meet 1
men 1
menas 2
menecrates 1
messenger 4
middle 1
military 1
mobile 1
monument 2
more 1
most 1
must 1
my 1
name 1
navy 1
neglected 1
never 1
news 1
no 2
nor 1
not 4
nothing 1
notorious 1
octavia 4
octavian 19
octavius 1
of 28
off 1
offer 1
on 5
once 1
one 3
only 3
order 2
orders 2
other 1
otherwise 1
our 1
out 1
over 2
overwhelmed 1
own 3
pain 1
pair 1
parade 1
paradoxical 1
parley 1
passage 1
passionate 1
persuade 1
pirates 2
plan 1
play 1
played 1
pledges 2
poison 1
pompey 7
portents 1
posture 1
prepares 1
present 1
problems 1
proclaimed 1
protection 1
public 1
queen 1
quick 1
rather 2
really 1
reassures 1
rebelled 1
refuses 3
remorse 1
repays 1
repeatedly 1
reproaches 1
resolves 2
retain 1
return 1
returns 1
revels 2
revenge 1
rhetorical 1
rid 1
roman 2
romance 1
romans 1
rome 6
roundfaced 1
ruin 1
ruler 1
rulers 1
run 1
rushing 1
same 1
sardinia 1
satisfies 1
satisfy 1
saying 1
sea 3
seafight 1
see 2
send 2
sends 2
sent 1
serving 1
sets 1
sextus 1
shakespeare 2
shall 4
share 2
she 15
shifts 1
ships 2
short 1
should 1
sicily 1
side 2
since 2
sister 1
sixty 1
so 3
soldierly 1
soldiers 1
some 3
soothsayer 1
speech 1
squeaking 2
stage 1
stale 1
standards 1
strange 1
streets 1
succeeds 1
suggests 1
sure 1
surrender 1
surrenders 1
sword 1
sympathy 1
take 1
taken 1
takes 1
terms 1
th 1
than 3
that 16
the 41
their 1
them 4
themselves 1
then 1
they 3
third 2
this 6
though 2
three 2
through 2
time 2
to 39
treachery 1
treasure 1
treasurer 1
tributes 1
tries 1
triumph 2
triumvirate 1
triumvirs 4
truce 2
true 1
trying 1
two 1
unapproved 1
until 1
up 2
upon 2
urges 1
us 1
using 1
variety 1
very 1
villain 1
walks 1
war 1
warns 2
was 2
way 1
wealth 2
well 1
what 3
when 4
where 3
which 3
whipped 1
who 1
whom 1
whore 1
wife 1
will 2
win 1
with 10
wither 1
women 1
word 1
worse 1
worth 1
wounding 1
younger 1
