394715
/m/02343f
/m/02343f
Tony Rothman
1978
{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
50 1
6 1
a 11
about 1
across 1
added 1
advanced 1
after 3
ago 1
along 1
alternating 1
an 2
ancient 1
and 11
another 2
approach 1
are 6
around 1
arrange 1
arriving 1
as 4
at 2
available 1
awakens 1
bannks 1
be 1
because 1
beginning 1
between 1
big 1
black 1
book 1
built 1
but 2
by 1
calendar 1
called 1
captured 1
center 1
centuries 1
changes 1
cheap 1
city 2
coast 1
coincide 1
cold 1
concerns 1
consider 1
crash 2
crew 1
crunch 1
current 1
currently 1
darkens 1
daryephna 1
days 1
divided 1
dramatically 1
during 2
dyson 1
each 1
earth 3
enmity 1
escaping 1
event 1
every 1
expedition 1
explorers 1
extreme 1
fabled 1
far 1
find 3
finding 1
fingers 1
for 1
forbidden 1
four 1
freezebake 1
freezing 1
from 2
future 1
galaxies 1
gives 1
golunpatra 3
gostum 2
group 1
groups 1
had 1
hand 1
he 1
help 1
hendig 2
him 2
historical 1
hole 1
hope 1
hopes 1
hot 1
humanlike 1
hundred 2
hydrogen 2
in 4
inhabitants 1
inland 1
into 2
is 6
it 2
kills 1
kilometers 2
known 3
konndjlan 1
land 1
landing 1
lasting 1
least 1
left 1
legends 1
life 1
lightens 1
lived 1
local 1
locals 2
members 1
merge 1
metallic 2
missing 1
months 2
more 1
mountain 1
much 1
named 2
natives 1
navigator 1
near 1
never 2
nights 1
north 1
number 1
occurs 1
of 13
on 2
once 1
one 4
or 1
other 1
otherwise 1
paddelack 2
patrabannk 3
patras 1
people 1
pike 3
planet 3
polkraitz 1
previous 1
prior 1
proceed 1
prophesied 1
rate 1
results 1
return 1
rises 1
rotation 1
seeking 1
semibarbaric 1
set 1
sets 1
shoots 1
shuttle 1
shuttlecraft 2
significance 1
similar 1
six 3
size 1
skin 1
slow 1
sphere 1
steaming 1
story 1
stranded 1
stringer 2
stronghold 1
sun 2
systems 1
take 1
tatjenen 2
technology 1
than 1
that 3
the 31
themselves 1
there 3
they 5
thousand 2
time 1
times 1
to 10
toward 2
traditional 1
travel 1
treasure 1
tribes 1
trying 1
twelfth 1
two 2
twobit 1
type 1
unaware 1
up 1
upcoming 1
upon 2
valyavar 2
village 1
voyage 1
was 1
weather 2
were 1
when 2
where 2
which 3
who 3
with 3
world 3
years 1
