11439875
/m/02rcpbn
/m/02rcpbn
Tom Perrotta
2004-03-01
a 22
about 1
addiction 1
admits 1
affair 3
after 1
allowed 2
already 1
alternative 1
an 1
and 14
angry 2
any 1
apathetic 1
appears 1
approaches 1
are 1
around 1
as 4
at 4
attractive 1
baffled 1
bar 1
be 3
became 1
because 3
becomes 1
been 1
being 1
bertha 1
best 1
bet 1
between 1
black 1
boy 1
brandishing 1
breadwinner 1
bring 1
brunette 1
bucks 1
but 3
by 2
call 1
called 2
callers 1
carla 1
challenge 1
children 3
collected 1
common 1
community 1
compulsions 1
concerning 1
condolence 1
considered 1
constantly 1
continually 1
convenient 1
convicted 1
cross 1
crossing 1
dates 1
daughter 2
deadend 1
death 2
deference 1
describes 1
discovers 1
discussing 1
disgusted 1
dissatisfaction 1
documentary 1
dog 1
down 1
drive 1
each 1
early 1
education 1
ends 1
engage 1
enters 1
enthusiasm 1
even 1
eventually 1
exam 1
expectations 1
exposing 1
failed 1
fanatical 1
far 1
father 1
feared 1
feces 1
feels 1
feminist 1
few 1
filmmaker 1
finds 6
fire 1
five 1
floor 1
follow 1
for 10
force 1
forces 1
friend 1
gentlemen 1
get 1
gets 1
girl 1
given 1
gives 1
go 3
goes 1
going 1
good 1
gorgeous 1
greatly 1
guard 1
guilt 1
gun 1
had 1
handsome 1
hanging 1
happen 2
harasses 1
has 6
have 2
having 1
he 8
heart 1
her 13
herself 3
highlyjudgmental 1
him 5
himself 3
hinted 1
his 13
home 2
hope 1
hospital 1
housewife 1
how 2
husband 1
if 1
illicit 1
in 7
injures 1
insulted 1
internet 2
into 2
is 7
it 3
job 2
jokingly 1
just 2
kathy 2
kay 1
kill 1
killed 1
king 1
kiss 1
larry 4
last 1
late 1
later 1
law 2
leads 2
leave 1
left 2
less 1
let 2
life 3
light 1
live 1
living 1
local 4
longlegged 1
lose 1
love 1
loved 1
lucy 1
mall 1
married 1
masturbates 1
match 1
may 6
mcgorvey 1
mdash 1
months 1
more 3
mother 2
mothers 1
much 2
name 1
nap 1
neighborhood 2
never 1
nicknamed 1
night 1
note 1
novel 1
number 1
of 8
offender 1
offer 1
offers 1
older 1
on 4
once 1
one 1
oneman 1
only 2
ostracized 1
other 3
otherwise 1
out 4
own 1
part 1
particularly 1
passionate 1
pension 1
phone 2
plain 1
planning 1
playground 2
please 2
policeman 1
pool 1
porn 1
pornography 1
pressures 1
primarily 1
primary 1
prom 1
radical 1
raise 1
rather 1
reads 1
ready 1
real 2
reduced 1
refuses 1
resents 1
retired 1
richard 3
ronald 4
ronnie 2
room 1
ruined 1
ruse 1
sarah 11
school 2
sex 2
shares 1
she 12
shooting 1
shopping 1
shoving 1
sits 1
skaters 1
slutty 1
so 1
some 1
someone 1
sort 1
spouses 1
star 1
starts 2
stroke 1
stuck 1
student 1
studies 1
suddenly 1
surprise 1
sympathy 1
takes 2
temptation 1
than 4
that 10
the 22
their 3
they 1
this 2
three 1
to 26
todd 9
together 1
toy 1
twice 1
two 1
unbearable 1
under 1
until 1
up 1
vendetta 1
via 1
waiting 1
watching 2
when 3
where 1
while 5
who 7
whom 1
wife 1
will 1
wishes 1
with 7
women 2
wondering 1
wonders 1
works 1
would 2
written 1
yard 1
you 1
young 1
