3280531
/m/093179
/m/093179
ʻAlāʼ Aswānī

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
134 1
152 1
170s 1
a 3
abdel 1
after 2
among 1
and 10
apartment 3
are 1
area 1
areas 1
armenian 1
arriving 1
as 6
at 1
background 1
began 1
beings 1
blocks 1
building 2
burgeoning 1
businessman 1
businessmen 1
but 1
by 4
cairo 3
caste 1
cities 1
classes 1
community 1
construction 1
country 1
countryside 1
decades 1
described 1
downtown 1
each 2
effectively 1
egypt 1
egyptian 1
el 1
employment 1
especially 1
family 1
farouk 1
fifty 1
finding 1
fled 1
following 1
for 2
foreigners 2
from 2
gamal 1
gave 1
government 1
gradually 1
growth 1
had 1
hagop 1
his 1
hopes 1
human 1
in 9
is 1
its 2
king 1
landowners 1
large 1
lived 1
living 1
lower 1
luxurious 1
manufacturers 1
many 1
medinet 1
meters 2
migrants 1
military 1
ministers 1
mohandiseen 1
more 2
most 1
moving 1
nasr 1
nasser 1
native 1
neighborhood 1
no 1
not 1
novel 1
occupied 1
of 9
officer 1
offices 1
often 1
on 1
one 2
or 1
originally 1
out 1
over 1
overthrew 1
overwhelmingly 1
poor 2
population 1
power 1
prestigious 1
previous 1
quarters 1
recent 1
residents 2
residing 1
revolution 1
rich 1
roof 1
rooftop 1
rooms 2
rural 1
slum 1
small 1
social 1
storage 1
suburbs 1
such 1
symbolic 1
taken 1
tenstory 1
than 2
the 18
then 1
there 1
to 2
two 2
urbanization 1
used 1
vacated 1
was 1
wealthy 2
well 1
were 3
which 2
who 2
with 1
working 2
yacoubian 3
