5772621
/m/0f3v3r
/m/0f3v3r
Jane Austen

a 5
and 9
are 1
arrogant 1
attractive 1
attracts 1
aunt 2
austen 1
awkward 1
been 1
better 1
boorish 1
brothers 1
brought 1
but 1
by 2
cassandra 1
chagrined 1
chapters 1
characters 1
clergyman 1
confided 1
consequently 1
contracts 1
course 1
crude 1
daughter 1
daughters 1
decline 1
die 1
educated 1
eldest 1
elizabeth 1
emma 5
eventually 1
family 1
father 1
finds 1
foolish 1
for 1
former 1
four 1
friend 1
from 2
great 1
has 1
he 1
her 7
house 1
howard 1
husbandhunting 1
ill 1
in 3
is 5
kindness 1
living 1
lord 3
marriage 2
marry 1
matches 1
minor 1
more 2
most 1
mr 3
musgrave 1
near 1
notice 1
obliged 1
of 5
one 1
opening 1
osborne 4
osbornes 1
plaintively 1
potential 1
proposal 1
provide 1
pursues 1
reckless 1
refined 1
responsible 1
return 1
second 1
seriously 1
she 2
sister 2
sisters 4
socialclimbing 1
some 1
sons 1
than 1
that 1
the 9
there 1
titled 1
to 5
tom 1
tutor 1
twentysomething 1
two 2
up 1
various 1
virtuous 1
was 3
watson 2
watsons 1
wealthy 1
when 1
while 1
widowed 1
with 1
work 1
young 1
youngest 1
