3947476
/m/0b83jb
/m/0b83jb
Randall Ingermanson
2001
10 4
2014 1
a 66
abandon 2
ability 1
aboard 3
about 6
abruptly 1
academic 1
academicbecause 1
accelerate 1
accept 2
accepting 1
accomplish 3
acetylene 1
act 2
acted 1
actually 1
add 1
added 1
adds 1
administrator 3
admit 1
aerobrake 1
aerobrakes 1
afraid 1
after 3
againso 1
against 2
agent 1
agreed 1
air 5
airlock 1
alaska 1
alexis 1
all 7
allows 1
almost 2
already 1
also 1
always 1
an 11
and 44
another 4
anotherand 1
antarcticaand 1
antenna 2
any 5
anyone 1
anything 1
appear 1
appears 1
apprehensions 1
approach 1
approaching 1
are 5
ares 6
arm 1
as 14
asks 2
assigned 1
assigning 1
assignment 3
association 1
associations 2
assurance 1
astronaut 5
astronauts 9
at 10
attempt 2
attempted 1
attempts 1
audience 1
available 1
avoid 1
awake 3
away 2
bacterial 1
bacterium 2
barely 1
be 4
because 7
been 2
before 2
beginning 1
begins 1
believe 2
believing 1
bennett 8
better 1
between 2
bleakly 1
blows 1
blowtorch 1
board 3
bob 22
bomb 3
bombing 1
bombthe 1
both 1
brass 2
breach 3
breathe 1
breathing 1
bridges 1
bring 3
brittle 1
broadcast 1
brought 1
browbeats 1
bubble 1
budget 1
build 1
bus 2
but 13
by 7
call 1
calling 1
camp 1
campusand 1
can 9
cancellation 1
candidacy 1
candidate 1
cannot 2
capcomfails 1
capture 1
carbon 1
cardiopulmonary 1
carelessly 1
carries 2
case 1
catches 1
cathe 1
caused 2
causes 2
center 1
chemical 1
chief 1
chiefly 1
christian 3
circuit 1
clear 1
climbs 1
coma 2
comas 1
come 1
commander 4
commandernot 1
committing 1
complement 1
complementsone 1
complete 2
completely 1
completing 1
complex 1
compromise 1
compromises 1
computer 1
computerbased 1
computes 1
concerning 1
conclude 2
confusing 1
conserve 1
consuming 1
contained 1
container 1
contaminated 1
continue 1
continues 1
continuing 2
controllers 1
controversy 1
conversation 1
converse 1
convinced 1
cope 2
could 2
crew 15
crewbecause 1
crewed 1
crewjosh 1
crewmates 1
crises 1
crosswind 1
crudely 1
crying 1
culture 1
cut 1
damage 2
damaged 1
darkly 1
data 1
daysdays 1
dazes 1
dead 1
deadbut 1
decide 3
decisionanalytic 2
deduction 1
deliberately 1
deliberations 1
demanded 1
demanding 1
deployment 2
designed 1
detach 1
detail 1
detonate 2
develops 1
device 1
devilmaycare 1
did 2
dioxide 2
dire 1
director 1
directorand 1
disaster 1
disbanding 1
discover 3
discovers 2
discretion 1
displays 1
dispute 1
disquiet 1
distracted 1
distractions 1
dive 1
do 4
doctors 1
does 2
dominate 1
dose 2
doubly 1
doubts 1
down 3
dr 1
dropped 2
druginduced 1
dual 1
during 2
duty 2
eager 1
earlier 1
earth 1
efforts 1
electromotive 1
email 1
emotional 1
emotions 1
enamored 1
encamped 1
end 1
ends 1
energy 1
engine 1
engineer 1
enough 3
entirely 1
error 1
erupt 1
erupted 1
erv 6
especially 1
establishedbut 1
eva 2
evacuate 1
even 3
events 1
eventually 3
ever 1
everyone 1
evidence 1
exceeds 1
exclusive 1
experience 1
experienced 1
explains 1
explosion 5
exposed 1
face 1
faces 1
fact 6
failure 2
far 2
fashion 1
fast 1
fateful 1
favor 1
favors 1
fbi 1
fearing 1
fears 2
feel 1
feels 1
fellow 1
felt 1
fetch 1
field 1
figured 1
fills 1
final 1
finally 1
find 1
first 5
fit 1
fivesigma 1
flagship 1
flight 2
fluid 1
follows 1
for 21
force 1
forced 1
forgive 1
forgives 1
former 1
found 1
four 1
fractures 1
from 14
frustration 1
fuel 1
fuelcell 1
full 1
fumarolic 1
further 1
furthermore 3
gain 1
gallantly 1
gas 1
gate 1
girlfriend 1
give 4
given 2
gladly 1
go 1
god 1
goes 1
grant 1
great 1
grueling 1
guilty 2
habitat 6
had 4
hampton 2
happened 1
harm 1
harrington 5
has 15
hastily 1
haunt 1
have 12
having 2
he 25
headquarters 1
helicopter 2
hell 1
help 2
her 29
herself 1
herspecifically 1
heyday 1
hidden 1
high 1
him 11
himself 2
his 9
hot 1
houston 4
however 3
hull 4
identifies 1
if 4
ignorant 1
immediately 1
impressed 1
in 31
inadvertently 1
incident 2
include 1
includes 1
including 2
incomplete 2
incredibly 1
indices 1
inform 2
initial 1
injection 1
inside 1
insists 2
inspect 1
instead 2
instructions 1
intact 1
intend 1
intentions 1
intercept 1
interceptbut 1
interview 4
interviews 1
into 8
invent 1
involving 1
is 34
isolation 1
issue 3
issued 1
it 8
items 1
its 4
jansen 3
january 1
jeep 2
josh 18
juice 1
kaganovski 1
kaggo 1
kennedy 15
killed 2
knowing 1
knows 1
kuband 2
laboratory 1
lack 1
land 2
landing 1
landingand 1
lands 1
last 3
lastminute 1
later 2
launch 4
launches 1
leading 1
less 1
lex 6
lie 1
life 1
lifeboat 1
lifethreatening 1
limits 1
line 1
longer 2
looking 1
loose 1
made 2
main 1
mainly 1
major 1
make 1
makes 1
man 1
manage 1
maneuver 1
manipulated 1
manipulating 1
many 1
marriage 1
mars 8
martian 2
match 1
material 1
meant 1
measure 1
members 2
men 1
mentioning 1
might 1
minute 1
mission 12
missions 1
model 1
months 1
more 7
morning 1
most 1
mostly 1
mount 4
mr 1
much 2
multimeter 1
multimeterand 1
multiple 2
must 4
nasa 19
nasarepresented 1
nate 5
nearly 1
neither 1
network 1
never 3
new 1
next 1
no 5
none 1
nonfunctional 1
nonregulation 1
not 8
nothing 1
notion 1
novel 2
now 3
obey 1
observing 1
of 45
offers 1
officials 1
often 1
ohta 2
on 20
once 2
one 11
only 9
open 1
operation 1
or 3
orbital 1
order 4
orders 1
original 2
other 3
otherwise 1
out 4
outside 1
over 1
overabundance 1
own 1
oxygen 7
panel 4
panels 1
part 1
particular 1
past 1
peninsula 1
pentathol 3
people 1
perform 3
permission 1
personal 1
physicians 1
picket 1
pilot 1
place 2
places 1
plan 1
plant 1
planted 2
plastic 1
plot 1
point 3
pointless 1
points 1
pool 1
position 2
possible 1
potential 1
power 2
powered 1
prayer 1
predicament 1
predicts 1
prepares 1
prerogatives 1
presence 1
presently 1
pressurized 1
pretext 1
previous 1
primary 1
prior 2
problem 2
proceed 1
proceeds 1
profile 1
program 2
project 3
prominent 1
promoted 1
proposes 4
protocols 1
psychiatric 1
psychiatrists 5
put 1
question 2
quite 1
radiationresistant 1
radio 1
radioresistant 1
raises 1
rather 2
reach 1
real 1
realize 4
realizes 1
reason 1
reawaken 2
rebel 1
received 1
receives 2
recipe 1
recognizes 1
recommendation 1
record 1
recovers 1
reentry 1
refuses 2
regain 1
regimen 1
relationship 1
releases 1
religiousmotivated 1
remain 1
remaining 5
remarkable 1
remember 1
remembers 1
remove 1
removed 1
removing 2
rendezvous 2
rendezvousand 1
repair 7
repaired 1
repairs 1
reports 1
requires 1
rescue 2
rescueand 1
reserves 1
reserving 1
resistance 1
respect 1
responsibility 1
responsible 1
rest 1
result 2
results 1
resuscitation 1
retrieve 1
return 3
returns 1
revealed 1
review 1
revive 1
rib 1
right 2
rights 1
risky 1
rocky 1
room 1
rover 1
run 1
sabatier 1
sacrifice 1
same 2
says 1
scene 1
schematics 1
scores 1
scrubberan 1
seal 1
second 1
secretly 1
secure 1
security 1
sedate 1
sedated 1
see 1
seed 1
seemingly 2
sees 2
selection 1
sell 1
semiregular 1
senator 1
send 1
senior 1
sequel 1
series 2
serious 2
sets 1
settles 1
setup 1
sexual 1
shaken 1
she 18
ship 4
shrapnel 1
shrapnela 1
shut 1
sides 1
significance 2
simply 2
simulation 1
six 1
sixbillionstrong 1
slope 2
slow 1
snack 1
so 7
sodium 3
solar 4
solution 2
some 3
someone 1
something 1
sought 1
source 1
space 2
spacewalk 1
spare 1
specialist 1
specifically 1
speeding 1
spends 1
spill 1
spilled 1
stainless 2
stainlesssteel 2
standing 1
stated 1
statehe 1
stay 1
steel 1
steelin 1
stereotype 1
still 1
straight 1
stray 1
strength 1
student 1
subsequently 1
suddenly 1
suffers 1
sufficient 1
suggests 1
suit 1
suits 1
sulfur 1
summoned 1
supplanting 1
surface 1
surprise 1
surveillance 1
survive 3
survives 1
suspect 1
suspects 1
suspicious 1
synthesize 1
system 1
systems 4
take 1
takes 1
taking 1
tank 1
tanks 1
tapes 1
telemetry 2
television 2
telling 1
tells 5
terminate 1
terrorist 1
test 1
texas 1
than 6
that 55
the 143
their 7
them 7
themselves 2
then 8
there 1
they 26
thinks 1
this 12
threat 1
threaten 1
three 2
thus 3
time 2
timely 1
tires 2
to 98
together 1
too 2
took 1
total 1
training 4
transit 2
transmartian 1
trident 4
triggered 1
trip 1
true 1
trust 2
trusting 1
tuned 1
turn 1
turns 1
two 7
ultimately 2
ultralowpower 1
unconscious 2
unhappily 1
unique 1
university 1
up 5
us 1
use 4
uses 2
usual 1
usurping 1
valerie 1
valkerie 36
valley 1
vehicle 2
velocity 1
venting 1
vents 1
very 6
vial 2
violent 1
volcano 1
voltage 1
votes 1
walk 1
want 1
wanted 1
wants 1
was 3
watch 1
way 2
what 3
when 7
where 1
whether 1
which 11
who 6
whose 1
will 8
willison 1
wires 1
wiresand 1
wish 1
with 20
withnot 1
women 1
worldwide 1
worseshe 1
would 2
wounded 1
wrong 1
yale 1
yearsbut 1
yet 1
