8566524
/m/02784bd
/m/02784bd
Chris Claremont

{"/m/01hmnh": "Fantasy"}
12 1
a 8
able 1
about 1
after 1
again 1
ago 1
and 5
areas 1
as 1
asleen 2
asleep 1
at 2
attend 1
back 1
bantering 1
bear 1
bed 1
being 1
bestows 1
brownies 2
cataclysm 1
child 1
continues 1
converses 1
created 1
crops 1
crystal 1
danan 1
distraught 1
do 1
dragon 1
dreams 1
drops 1
drumheller 1
during 1
elora 2
end 1
eyes 1
falls 1
farmer 1
find 1
for 2
franjean 1
gift 2
give 1
great 1
harvest 1
has 2
he 8
her 3
him 2
his 2
horrific 1
in 2
including 1
is 2
leaves 1
leaving 1
life 1
madmartigan 1
morning 1
name 1
new 1
next 1
night 1
not 2
of 5
off 1
on 2
once 1
out 1
over 2
party 1
planting 1
protect 1
protector 1
riding 1
rool 1
says 1
see 1
served 1
sitting 1
sleeping 1
so 1
sorsha 2
teddy 1
that 4
the 8
there 1
thorn 1
tir 2
to 4
two 2
ufgood 1
up 1
upon 1
wakes 1
when 1
which 1
who 1
whom 1
will 1
willow 2
wiped 1
with 4
world 1
worrying 1
year 1
