5909618
/m/0fd1_6
/m/0fd1_6
Ira Levin


1 2
2 2
3 2
a 11
about 2
accomplished 1
act 5
again 1
aims 1
allude 1
an 2
and 17
anderson 1
apparently 1
are 1
argue 1
around 1
arrow 1
as 5
asking 1
asks 1
at 2
attack 2
attorney 1
authorship 1
away 1
bad 2
be 1
been 3
begin 1
behind 2
blanks 1
block 1
body 3
both 1
box 1
bruhl 1
bullets 1
burn 1
but 2
by 3
called 1
chair 1
claim 1
clever 1
clifford 23
collapses 1
confirms 1
confronts 1
continues 1
covered 1
credit 1
crossbow 1
curtain 1
death 2
deaths 1
deathtrap 2
decides 1
die 1
discovered 1
discuss 1
discusses 1
disposing 1
dorp 1
elapsed 1
elated 1
escapes 1
evening 1
events 2
evidence 1
excellent 1
exclaims 1
fake 1
falls 1
feeling 1
fight 1
finds 1
flops 1
for 2
from 5
goes 1
grabs 1
gun 2
had 3
handcuffs 2
has 6
have 1
having 1
he 9
heart 1
helga 6
him 6
his 6
horror 1
house 2
how 2
i 1
ii 1
imagining 1
in 4
includes 1
insights 1
invite 1
is 6
kill 3
kills 1
learn 1
learns 1
leaves 2
led 1
lights 1
locking 1
looks 1
make 1
making 1
manuscript 4
milgrim 1
mud 1
murder 4
myra 6
needed 1
never 1
next 1
not 2
of 9
off 1
office 2
on 3
once 1
only 1
out 1
over 1
own 1
parts 1
persuades 1
plan 1
plans 2
play 7
plot 1
police 1
porter 2
predicted 1
produce 1
progress 1
prove 1
psychic 1
pulls 1
questions 1
reads 2
receiving 1
returns 1
revealing 1
reveals 3
rises 1
room 1
rug 1
scene 6
script 1
second 2
see 1
seen 1
series 1
she 5
shock 1
shocked 1
shoots 2
should 1
sidney 27
snatches 1
so 1
stabs 1
staged 1
starts 1
steal 1
stops 1
story 1
struggle 2
successful 1
suffer 1
surreptitiously 1
suspected 1
take 1
telephone 1
telephones 1
tell 1
tells 3
ten 1
that 14
the 25
their 2
them 1
they 3
thinks 1
thriller 1
through 1
to 20
trivial 1
trouble 1
trust 1
turn 1
two 1
up 1
vibes 1
victim 1
violent 1
visit 1
visits 1
wandering 1
wanders 1
was 2
weeks 1
what 1
when 2
which 2
while 1
who 1
whole 1
wife 1
will 1
working 1
would 2
wraps 1
writer 3
writing 2
younger 1
