3249201
/m/0915xw
/m/0915xw
Joseph Delaney
2004
13 1
a 22
about 4
actually 1
after 4
again 2
against 1
age 2
ago 1
agreed 1
alice 7
alive 1
all 1
amount 1
an 2
and 15
anyone 2
appears 1
apprentice 2
apprentices 1
are 2
arrival 1
as 10
at 4
away 1
back 1
bars 1
be 2
beat 2
because 2
becomes 1
begins 1
being 1
best 1
billy 1
bitten 1
blood 5
body 3
boggart 5
boggarts 2
bone 1
bones 1
bony 5
book 1
bound 1
boy 1
boys 2
bradly 1
breaks 1
but 2
by 4
cakes 1
called 1
can 1
cannot 1
care 1
carrying 1
certain 1
children 1
chipenden 2
christian 1
church 1
cloaked 1
come 1
complies 1
cook 1
could 2
county 1
cowardly 1
creatures 2
dangerous 2
dark 5
days 2
dead 1
deal 1
death 1
deceased 2
decide 1
defeat 1
developed 1
died 1
dishes 1
disobedient 1
do 4
does 1
doesnt 1
draining 1
due 1
eat 1
end 1
enemies 1
ensures 1
errand 1
escape 3
escorts 1
every 2
evil 1
explains 1
failed 1
farm 1
feature 1
features 1
fighting 2
fights 1
filled 1
find 1
finger 1
first 1
followed 1
food 2
for 8
from 2
ghostsghasts 1
girl 4
give 1
given 1
gives 1
go 1
gone 1
good 1
ground 1
had 3
hand 1
happily 1
hard 1
has 5
hates 1
have 4
having 1
he 6
heart 1
help 1
her 11
him 6
his 10
home 5
horrible 1
house 4
how 1
however 1
hungry 1
in 10
including 1
influence 1
into 3
involved 1
involving 1
iron 1
is 22
it 6
kicks 1
kill 3
killer 2
kills 1
knife 2
know 1
knows 1
lair 1
later 1
laundry 1
learn 2
learning 1
left 1
listening 1
lives 1
lizzie 5
long 2
looks 1
loss 1
made 1
magic 3
make 2
malkin 11
man 1
meddling 1
midnight 1
monsterlike 1
more 1
most 3
mother 11
murder 1
must 1
mysterious 1
name 1
narrator 1
necromancy 1
need 1
never 1
night 1
not 3
of 26
off 1
old 1
on 4
one 3
or 3
other 1
out 4
over 1
parents 1
particularly 1
passes 1
people 1
person 2
pick 1
pig 2
pigs 1
pit 4
pointy 2
possessed 1
possesses 1
powers 1
practice 1
prison 1
promised 1
protected 1
pulls 1
put 1
reading 1
realize 1
realizes 1
referred 1
refuses 1
relative 1
relatives 1
religious 1
resume 1
retractable 1
return 1
returns 3
revealed 1
runaway 1
runs 1
same 1
scares 1
see 1
sent 1
servant 1
sharpens 1
she 11
shoes 2
should 1
shows 1
sinister 1
so 1
some 4
son 2
soon 1
sorts 1
spook 15
staff 3
standing 1
staumin 1
story 1
strategy 1
strength 1
strict 1
stronger 1
such 1
sucking 1
suddenly 1
taking 1
talk 1
tasks 1
taste 1
telling 1
terrible 1
terrorize 1
test 1
tests 1
that 9
the 56
their 1
them 6
themselves 1
then 6
there 2
these 2
they 2
things 1
this 3
thought 2
threaten 1
three 3
thrown 1
thrust 1
time 2
to 28
tom 18
top 1
training 1
travels 1
tricked 1
tricks 1
tries 1
troublesome 1
try 1
two 1
type 2
uncomfortable 1
ungodly 1
unless 1
unwanted 1
up 4
use 1
useful 2
uses 2
using 1
very 2
visitors 1
ward 2
warning 1
was 4
way 2
wearing 1
welcoming 1
well 2
what 3
when 2
whether 1
which 2
whilst 1
who 8
whom 1
will 2
witch 1
witchcraft 1
witches 5
with 6
women 2
wood 1
wooden 1
world 3
young 1
youthful 1
