4627006
/m/0cdbmd
/m/0cdbmd
George Eliot
1859-07
a 6
ability 1
about 1
accuses 1
after 1
an 1
and 8
appear 1
as 3
at 1
attending 1
atypically 1
back 1
because 1
becomes 1
believes 1
bertha 6
blood 1
brother 2
but 1
by 1
charles 1
childhood 1
closed 1
cold 1
come 1
comes 1
convinced 1
coquettish 1
cursed 1
death 1
deceased 1
dialogue 1
dies 1
discerns 1
disintegrates 1
do 1
envisioned 1
exactly 1
existence 1
expected 1
fascinated 1
few 2
fiance 1
flees 1
for 1
foretold 1
friend 1
from 2
future 1
geneva 1
gift 1
had 1
has 1
he 6
her 1
him 2
himself 2
his 4
illness 1
in 1
initial 1
into 1
is 3
latimer 8
life 1
light 1
maid 2
manipulative 1
marriage 1
marries 1
meunier 1
mind 1
moments 1
motivations 1
motives 1
much 1
narrative 1
narrator 1
nature 1
of 8
on 1
other 1
others 1
otherworldly 1
patch 1
pavement 1
peculiar 1
people 1
performs 1
plot 1
poison 1
power 1
predictions 1
rainbow 1
recently 1
recognizes 1
remain 1
revolted 1
school 1
scientist 1
see 1
seems 1
severe 1
soon 1
start 1
stem 1
suffered 1
that 1
the 10
them 1
this 1
thoughts 1
to 7
transfusion 1
true 1
two 1
unreliable 1
untrustworthy 1
unwanted 1
way 1
what 1
while 1
with 2
words 1
