417955
/m/025_j7
/m/025_j7
Raymond Chandler
1940
a 30
advises 1
african 1
agrees 1
aint 1
all 2
along 1
americans 1
amthor 8
an 3
and 31
angeles 1
anne 3
annoyed 1
another 1
any 1
appointment 1
are 3
arrives 1
assaulted 1
assumes 1
at 2
awakes 1
back 1
baltimore 1
barging 1
because 2
been 3
before 1
began 1
behind 1
being 1
belongs 1
black 1
blackmail 1
blackmailing 1
board 1
boat 1
body 1
bought 1
boys 1
but 11
by 5
call 1
called 1
canyon 2
car 1
card 1
cards 1
case 3
catches 1
caught 1
change 1
changed 1
charge 1
cigarettes 1
claims 1
clothes 1
club 3
coming 1
conceal 1
confronts 1
connection 1
continued 1
cops 2
could 2
crime 1
criminal 1
crooked 3
crowd 1
cut 1
dark 1
daughter 1
dead 3
deadend 1
decides 1
delivering 1
deserted 1
despite 1
detective 2
discovers 1
discusses 1
dismisses 1
does 1
doing 1
dope 1
doubt 1
down 2
drives 1
dropoff 1
drugs 2
due 2
dupes 1
elderly 1
encourage 1
ends 1
escapes 1
escaping 1
essentially 1
even 1
eventually 1
examines 1
exgirlfriend 1
exposed 1
fact 1
fatally 1
felon 1
find 2
finding 1
first 1
flees 1
follow 1
for 16
former 1
found 2
freely 1
friend 2
from 2
front 1
fugitives 1
gambling 1
gangster 1
get 2
gets 1
girl 4
girlfriend 1
given 1
go 2
going 1
good 1
grayle 5
ground 1
had 2
hard 1
harm 1
has 4
hasnt 1
have 2
he 20
head 1
help 2
her 11
herself 1
hid 1
hideout 1
hides 1
hiding 2
him 14
hints 1
hire 1
his 8
hit 1
home 2
hospital 3
house 1
hunch 1
identity 1
if 1
implicate 1
in 11
incompetence 1
inside 1
interest 1
interested 1
into 2
investigates 2
investigating 1
invites 1
involvement 1
is 17
it 1
jams 1
job 1
jules 1
kill 1
killer 1
killing 2
kills 1
knows 2
lapd 1
law 1
laziness 1
league 1
learned 1
learns 2
let 1
lewin 1
lindsay 1
local 2
lock 1
lockridge 1
look 3
looking 2
los 1
loud 1
low 1
lying 1
makes 1
malloy 13
man 3
manager 1
manages 1
marijuana 1
marlowe 18
marlowes 1
marriott 8
marriotts 1
meet 1
message 1
moose 1
more 1
moved 1
mrs 5
murder 1
named 4
necklace 4
needed 1
network 1
new 1
next 1
night 1
nightclub 1
no 3
not 1
now 2
nulty 4
of 7
off 1
office 1
on 9
one 2
only 1
out 6
over 1
owned 1
owner 3
owners 3
paid 1
pal 1
partly 2
pass 1
passerby 1
past 1
payment 1
peddling 1
philip 1
photo 1
police 3
policeman 1
policemen 1
preferring 1
prevalent 1
priority 1
private 2
probes 1
promises 1
psychic 1
questions 1
racism 1
ransom 1
rare 2
rather 1
real 1
receives 1
rely 1
reputation 1
returns 1
ride 1
riordan 3
risky 1
robbed 1
room 1
run 1
says 2
see 2
sees 2
she 9
shoots 1
shows 2
sitting 1
size 1
sneaks 1
so 3
some 2
someone 1
steps 1
sticks 1
story 1
suspect 1
suspects 1
suspicious 1
takes 1
telling 1
tells 1
than 1
that 4
the 37
then 3
there 1
they 4
though 1
thought 1
through 1
thrown 1
ties 1
time 2
to 30
too 2
tracked 1
tracks 1
tricked 1
trying 2
two 1
unrelated 1
unwitting 1
up 4
us 1
use 1
used 1
valento 1
velma 7
visits 3
waits 1
wants 2
wary 1
was 4
way 1
wealthy 2
were 2
what 1
when 4
while 1
who 6
widow 3
wife 1
will 1
with 5
women 1
work 1
would 2
you 2
