16028070
/m/03ql89w
/m/03ql89w
Kaza Kingsley


2 1
3 1
7th 1
a 44
able 1
about 2
acting 1
actually 1
admirer 2
adopted 1
advance 1
adventure 3
advice 1
afraid 1
after 8
again 1
against 3
ahead 1
al 1
alithea 2
alive 2
all 8
almost 1
alone 2
along 1
also 4
alympium 1
alypium 8
alypiumashona 1
amazed 1
amiss 1
an 7
ancestor 2
ancestors 1
and 67
angry 1
annoying 1
answered 1
answers 1
any 1
aorth 2
aosqueth 1
aosqueths 1
apartment 1
apparently 1
appear 1
appears 1
are 13
argus 1
arms 2
around 2
arrow 1
as 10
ashona 2
asks 1
at 3
attack 1
attacking 1
attempt 1
attempted 1
attempting 1
attracts 1
away 2
awen 3
baby 1
back 6
bad 2
balor 6
balthazar 1
barely 1
baskania 23
baskaniathis 1
be 15
because 1
become 2
becomes 1
becoming 1
bee 1
beehind 5
been 8
bees 1
before 4
begin 1
begins 1
behind 2
being 4
believe 1
believes 1
best 1
bethany 22
bethanys 1
blast 1
blasting 1
blocks 1
boar 3
book 3
born 1
both 1
bottom 1
breathing 1
brother 2
brought 2
bullets 1
but 34
by 8
called 1
can 7
cannot 1
captured 1
captures 1
castle 4
caught 1
chained 1
chair 1
challenges 2
challenging 2
change 1
characters 1
child 1
children 2
choices 1
choose 1
clone 1
cloudy 3
clues 1
clutches 1
collapse 1
collect 1
collects 1
come 2
comes 2
commands 1
comment 1
communicating 1
compete 1
competing 1
completing 1
concentrated 1
condition 1
cones 1
confidence 1
confronts 1
confused 1
connect 1
constantly 1
contact 1
contest 3
contests 2
continues 3
copies 1
correct 1
correspondence 1
could 3
couldnt 1
course 1
crashes 1
crisis 1
crosses 1
crush 1
culprit 1
damon 3
damsel 1
danger 1
dangerous 2
dangers 2
danny 5
dark 1
daunting 1
day 3
dead 2
deadly 3
death 1
deep 1
deer 1
defeat 1
defeated 1
delphi 1
demands 2
demons 1
despite 1
destroyers 1
determined 2
did 1
didnt 1
die 1
died 1
different 1
difficult 2
direct 1
disappearance 1
discover 2
discovers 4
distress 1
do 6
does 3
doesnt 2
doubts 1
down 2
dragon 12
dragons 2
dropped 1
dungeons 1
each 2
easy 2
eggs 4
end 1
endure 1
enemy 3
enough 1
enters 1
erec 77
escapade 1
escape 2
escapes 1
even 2
eventually 1
ever 2
evil 2
extremely 1
eye 7
eyes 2
face 1
faced 2
facing 1
fact 1
family 4
fangirls 1
fate 1
fates 5
father 4
feed 1
feeding 1
feelings 1
felix 1
ferocious 1
fifth 1
fight 1
fights 1
figure 1
final 4
finally 1
find 6
finds 3
fingers 2
fire 1
first 3
five 1
fix 1
fleas 1
follow 2
follows 1
for 11
force 1
forever 1
formula 2
fortress 3
forward 1
found 2
free 5
freed 1
friend 3
friends 4
from 14
furies 7
future 1
gains 1
gas 1
get 6
gets 2
getting 2
giggle 1
give 3
gives 1
giving 1
glasses 3
go 2
goes 6
going 1
good 4
great 1
greatest 1
green 1
grows 1
guide 1
had 6
hand 1
hanging 1
happened 1
happening 1
hard 2
harrowing 1
has 19
hatch 1
hatchlings 1
have 6
he 64
head 1
hears 1
held 2
help 8
helping 1
helps 2
her 26
herculean 1
hermit 1
herself 1
