14039364
/m/03crslg
/m/03crslg
Graham Gardner
2003-03
a 10
actually 2
aim 1
altering 1
and 5
appearance 1
are 2
at 1
be 2
become 3
behind 1
being 3
book 1
boys 1
bullied 1
bullies 1
but 1
by 1
chance 1
change 1
confident 1
cool 1
created 1
dark 1
decides 2
despised 1
different 1
dilemma 1
disguise 1
elliot 4
enough 1
escaped 1
failed 1
far 1
fast 1
find 1
finds 1
fit 1
follows 1
for 1
fourteenyearold 1
future 1
guardians 4
happens 1
has 2
have 1
he 8
him 3
himself 2
his 7
however 1
impressed 1
in 2
into 1
inventing 1
is 6
join 1
just 1
knows 1
leave 1
life 1
longer 1
more 1
move 1
must 1
new 5
no 1
nobody 1
not 1
of 9
older 1
once 1
one 2
orchestrating 1
out 2
past 1
person 1
persona 1
physical 1
plan 1
pretending 1
pulled 1
reign 1
represents 1
school 2
secret 1
seems 1
sick 1
so 1
society 1
start 1
story 1
struggle 1
subtly 1
summon 1
sutton 1
tand 1
teenager 1
terror 1
than 1
that 5
the 13
them 1
they 1
thinks 1
tired 1
to 10
too 1
town 1
traumatic 1
true 1
truth 1
victim 2
want 1
way 1
well 1
what 1
when 2
where 1
which 1
while 1
whilst 1
who 1
will 1
works 1
world 1
years 1
young 1
