1249326
/m/04m19j
/m/04m19j
Voltaire

{"/m/02t97": "Essay"}
1 1
10 1
11 1
12 1
13 1
14 3
15 1
16 1
17 2
1707 1
1723 1
1727 1
18 1
20 1
20000 1
21 1
23 1
24 1
5 2
6 2
7 2
8 2
a 16
about 7
academies 1
acadmie 1
according 2
account 1
addition 1
addresses 2
affects 1
against 1
aim 1
alexander 1
all 1
allow 1
allowed 1
along 2
also 2
ambition 1
an 1
and 33
anglaises 1
anglican 1
anglicans 1
annual 1
ansbach 1
antitrinitarians 1
appreciate 1
appreciates 1
are 7
argues 4
arians 1
as 7
at 2
attacks 1
attempts 1
attention 1
attraction 2
author 1
authors 1
babylon 1
bacon 2
baptism 1
be 4
been 2
belief 1
beliefs 1
belles 2
benefits 1
better 1
both 1
brief 1
briefly 1
brings 1
britain 3
british 8
broadbrimmed 1
businessman 1
but 4
by 3
call 1
calvin 1
campaign 1
cards 1
caroline 1
carta 1
catholic 1
catholicism 1
ceremonies 1
charles 1
child 1
christian 1
chronology 1
church 2
churches 1
cites 1
citing 1
clergy 2
cloak 1
coat 1
comedy 2
commerce 1
common 1
communion 2
compared 1
compares 4
comparison 1
concern 1
concerning 1
concerts 1
congreve 1
consists 1
continental 1
contributed 2
contributes 1
criticism 1
criticizes 2
cultivate 1
customs 1
daughters 1
day 2
death 1
decision 1
deist 1
descartes 4
describes 1
devoted 1
did 2
discusses 3
disease 1
dispensing 1
dryden 1
earl 2
edmund 1
efforts 1
either 1
eminence 1
emperor 1
end 1
england 2
english 7
enjoy 1
enough 2
entered 1
enterprise 1
epidemic 1
equal 1
especially 1
eulogy 1
europe 1
even 1
expansion 1
experimental 1
expresses 1
expressly 1
fact 1
famous 2
far 1
father 1
favour 2
favourably 1
felicity 1
finally 1
first 1
five 1
focuses 1
follow 1
fontenelle 1
for 3
forbidden 1
fortunate 1
franaise 1
france 5
francis 1
french 6
friend 1
from 2
gait 1
gave 1
genteel 1
geometry 2
german 1
give 1
gives 3
go 1
government 1
great 4
greatly 1
hamlet 1
hands 1
happiness 1
has 2
hat 1
have 4
having 1
he 11
head 1
hearts 1
henry 3
her 1
highlighting 1
him 2
his 5
history 2
holy 1
honour 1
how 1
huldrych 1
i 4
ignore 1
ii 1
iii 2
immortality 1
important 2
in 33
includes 1
including 2
infinites 1
inoculated 1
inoculation 3
into 1
intolerant 1
is 6
isaac 4
it 4
its 2
iv 2
ix 1
john 4
jonathan 1
judicial 1
justice 1
killed 1
known 2
lack 3
lady 1
last 1
laws 1
less 1
letter 46
letters 6
lettres 3
levying 1
liberty 3
life 1
little 1
locke 3
logical 1
london 2
long 1
look 1
lord 2
lordship 1
luther 1
made 1
magna 1
makes 1
man 1
manipulative 1
martin 1
mary 1
mathematician 1
may 1
men 3
mentions 1
ministers 1
mistresses 1
money 1
montagu 2
morals 1
more 1
most 2
mr 3
multiple 1
murders 1
my 1
name 1
nation 2
nature 1
naval 1
newton 9
no 5
nobility 2
nobles 2
none 1
nose 1
not 5
novum 1
number 1
of 58
on 33
one 1
only 2
operas 1
opinion 1
opportunity 1
opposed 1
optics 2
or 10
organized 1
organum 1
other 2
ought 1
our 1
outright 1
over 1
overly 1
own 1
paris 1
parliament 2
particular 2
passage 1
people 3
performed 1
persons 1
persuade 1
philosopher 4
philosophy 1
pious 1
play 1
plays 1
poetry 1
poets 1
political 1
pope 2
pounds 1
power 1
practice 1
praises 3
preaches 1
prefer 1
presbyterian 1
presbyterians 3
presents 1
priests 2
princess 1
process 1
puts 1
quaker 1
quakers 6
quality 1
rather 1
readers 1
receiving 1
references 1
regard 2
regarding 1
regicide 1
regular 1
related 1
religion 4
ren 1
replied 1
replies 1
responds 1
response 1
rest 1
retained 1
revenue 1
rhyming 1
riches 1
rituals 2
rochester 2
roman 1
rome 4
romish 1
royal 2
said 2
satirize 1
scrupulous 1
sect 1
see 1
sees 1
serious 1
serving 1
shakespeare 1
short 1
shown 1
simplicity 1
sir 3
six 1
smallpox 1
so 2
society 2
socinians 3
soliloquy 1
some 2
somewhat 1
soul 1
sour 1
speaks 2
specifically 2
spiritual 1
sprinkling 1
stayed 1
still 1
strict 1
such 2
suffer 1
sundays 1
superiority 1
swift 1
system 3
takes 1
talks 6
tavern 1
taxes 1
teachings 1
terms 3
than 4
that 13
the 92
their 8
them 1
then 1
theories 2
they 2
thinkers 1
this 7
those 2
thousand 1
through 2
time 1
tithes 1
titles 1
to 37
too 1
trade 4
tragedy 2
translation 2
true 1
turn 1
twentyfour 1
two 1
type 1
tyranny 1
unfavourably 1
upon 1
v 1
vanbrugh 1
vastly 1
veneration 1
verse 1
very 1
vi 1
viewpoint 1
vii 2
viii 1
voltaire 22
wales 1
waller 2
wars 1
was 3
water 1
ways 1
we 2
weak 1
wears 1
well 1
what 1
where 2
whereas 1
which 5
while 2
who 2
whom 1
whore 1
whose 1
william 3
with 8
work 3
world 2
wortley 1
wretched 1
written 1
wycherley 1
x 1
xi 1
xii 1
xiii 1
xiv 1
xix 1
xv 1
xvi 1
xvii 1
xviii 1
xx 1
xxi 1
xxii 1
xxiii 1
xxiv 1
you 1
your 2
zwingli 1
