3385085
/m/098tsc
/m/098tsc
Janet Evanovich
1996-01-10
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
24 1
a 6
along 1
and 4
apartment 1
as 2
asks 1
at 1
bail 1
bargain 1
basement 2
begins 1
being 1
body 2
bonds 1
book 2
but 1
case 1
caskets 1
childhood 1
chop 1
clerk 1
company 1
complicates 1
continues 1
decides 1
embalmed 1
end 1
eternal 1
eventually 1
fatally 1
file 1
filing 1
find 2
finding 1
fire 1
for 2
friend 2
from 1
funeral 3
gets 1
go 1
gone 1
grandma 1
have 1
head 1
help 1
her 1
him 1
his 1
home 3
hooker 1
in 5
installation 1
interesting 1
introduced 1
is 3
jeep 1
job 1
kenny 1
likely 1
local 1
locked 1
looking 1
lula 1
mancuso 1
mazur 1
military 1
missing 1
missingalong 1
model 1
money 1
more 1
most 1
mysteriously 1
notes 1
number 1
of 6
on 2
one 1
outside 1
owner 1
parts 2
place 1
previous 1
sahara 1
setting 1
shop 1
shot 1
sidekick 1
slumber 1
son 1
spiro 1
stark 1
stephanie 7
stiva 3
stolen 1
street 1
talks 1
than 1
that 2
the 13
themselves 1
then 1
threatening 1
to 2
up 2
various 1
vinnie 1
weapons 1
which 1
while 1
with 2
wound 1
wrangler 1
