8357626
/m/0270n0h
/m/0270n0h
Alan Judd
2003
140 1
a 3
about 2
advances 1
agent 1
akki 3
an 1
and 8
army 1
as 3
assess 1
been 3
begins 1
being 1
between 1
both 1
britain 1
british 2
by 1
choose 1
churchill 1
commissioned 1
concerns 1
conversations 1
danger 1
defect 1
discover 1
discovers 1
doorn 1
duty 1
exiled 1
exposed 1
falls 1
feelings 2
for 2
forcing 1
from 1
german 1
guard 1
has 4
he 2
heinrich 1
him 1
himmler 1
his 3
huis 1
identity 1
ii 1
in 2
into 1
is 3
jewish 1
kaiser 3
krebbs 6
loves 1
maid 1
martin 1
meets 1
must 1
nazis 1
netherlands 1
of 2
officer 1
on 1
orders 1
posing 1
possible 1
question 1
recently 1
reich 1
secret 1
sent 2
service 1
set 1
some 1
ss 1
story 2
taught 1
the 14
there 1
things 1
third 1
through 1
to 8
true 1
truths 1
uncomfortable 1
undercover 1
unfolds 1
untersturmfhrer 1
visit 1
war 1
when 1
while 1
who 3
wilhelm 1
willingness 1
winston 1
with 1
woman 1
young 1
