309433
/m/01sz_z
/m/01sz_z
Isaac Asimov
1953
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
14 1
148 1
150 1
50 1
a 9
abilities 1
able 1
about 1
actually 1
after 4
again 1
agents 2
all 3
allows 1
along 1
also 4
alter 1
although 1
an 1
analyze 1
ancient 1
and 13
answer 3
are 3
arkady 1
around 1
arrival 1
as 4
astounding 2
at 8
aware 2
back 1
be 3
because 1
before 1
being 1
benevolent 1
book 1
but 2
by 7
called 1
can 2
capital 1
catch 1
cause 1
causes 1
causing 1
center 1
centre 2
circle 1
come 1
concurrent 1
conflict 2
content 1
could 1
council 1
darell 1
death 1
december 1
declare 1
described 1
despot 1
destroyed 1
destroying 1
device 1
disc 2
dont 1
due 1
edge 3
elusive 1
empire 1
encyclopedia 1
end 7
ends 1
ensuing 1
essentially 1
even 1
executive 1
existence 1
extreme 1
fact 1
failed 1
fiction 2
fiftyfive 1
finally 1
find 1
finding 1
finds 1
first 6
fit 2
for 1
forget 1
former 1
found 1
foundation 18
foundations 1
founded 1
from 2
fully 1
galactic 1
galactica 1
galaxy 6
great 1
guard 1
had 3
hari 1
has 1
him 2
his 2
however 1
i 1
ii 1
imperial 1
in 10
inclined 1
intent 2
inventing 1
is 9
issue 1
issues 1
it 5
its 4
jam 1
january 2
kalgan 2
known 2
last 1
lead 1
lies 1
life 1
listed 1
live 1
located 1
locates 1
location 2
major 1
matter 1
mdash 2
members 2
mentalist 1
mule 8
natural 1
nature 1
no 1
not 4
noted 1
november 1
now 3
of 18
off 1
on 3
one 2
ongoing 1
opposite 1
or 1
originally 2
other 4
out 2
pain 1
part 3
physical 2
place 1
plot 1
power 1
prestige 1
psyche 1
published 2
purpose 1
puts 1
question 1
realize 1
remainder 1
response 1
return 1
revisited 1
rise 1
roads 1
roughly 1
said 1
satisfied 1
saying 1
science 2
scientist 1
search 5
second 9
see 1
seldon 2
sense 1
short 1
since 2
sixty 1
social 2
something 1
speaker 1
spiral 2
star 1
stars 1
statement 1
takes 1
telepathic 1
telepathically 1
telepaths 2
terminus 5
terms 1
that 8
the 67
then 1
there 1
they 3
this 3
thread 1
thus 1
title 2
to 14
tracing 1
trantor 3
true 1
two 1
under 2
until 1
used 1
very 1
war 1
was 9
were 2
when 1
where 2
with 4
won 1
words 1
would 2
years 2
you 2
