37054020
/m/04f1nbs
/m/04f1nbs
Vince Flynn
2000-06-01
a 5
also 1
america 1
and 6
anna 2
as 2
attack 1
barley 1
be 3
begins 1
being 2
bomb 1
books 1
by 2
capital 1
career 1
chief 1
comes 1
commander 1
correspondent 1
covert 1
day 2
dc 1
demands 1
detonating 1
discovers 1
doing 1
eliminate 1
entrance 1
escape 1
escaped 1
explosives 1
fight 1
find 1
first 2
for 2
found 1
from 2
future 1
glorify 1
group 1
happen 1
happens 1
he 4
her 1
here 1
his 1
hold 1
hostage 2
hostages 1
house 5
in 6
inside 1
into 1
iran 1
is 4
it 4
killed 1
later 2
leader 1
lenient 1
manages 1
meanwhile 1
meets 1
must 1
nations 1
navy 1
nbc 1
near 1
of 3
one 1
only 1
operation 1
opportunity 1
over 1
placed 1
planned 1
political 1
possible 1
president 3
raped 1
rapp 3
reader 1
reilly 2
relationship 1
remains 1
save 1
saves 1
seal 1
secret 1
seen 1
several 1
shelter 1
situation 1
sneak 1
so 1
south 1
starting 1
strategically 1
take 1
terrorist 7
that 1
the 25
their 1
this 1
throughout 1
time 1
to 6
towards 1
trapped 1
unfinished 1
using 2
vice 1
washington 1
way 1
where 2
which 1
while 2
white 5
who 2
will 1
with 1
