703539
/m/034443
/m/034443
Jack London
1906-05
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
a 22
accept 1
across 1
addicted 1
adjust 1
after 3
alcohol 1
all 4
alone 1
americans 1
and 22
are 2
area 1
as 3
at 1
attack 1
attempts 2
back 1
beauty 1
beaver 4
become 1
been 2
before 1
begins 2
bill 2
birth 1
blessed 1
book 1
born 1
bottles 1
boughtwith 1
breaks 1
bring 1
brother 2
brought 1
bulldog 2
but 5
by 5
california 1
camp 1
can 1
canada 1
carcass 1
christening 1
coffin 1
collie 1
comes 2
coming 1
course 1
criminal 1
cub 5
cubs 1
current 1
day 1
days 2
dead 1
deadly 1
decides 1
defeats 1
deliver 1
den 2
devoured 1
die 1
discovers 1
dog 2
dogfighter 1
dogs 1
down 2
during 1
eaten 1
effort 1
end 1
ended 1
ends 1
enemy 1
escape 1
estate 2
eventually 2
eye 2
famine 2
fang 12
father 1
fathered 1
fend 1
fight 3
fighter 1
finally 2
find 1
five 3
follows 2
food 1
for 5
fort 2
four 1
from 2
fur 1
get 1
gets 1
gives 1
gold 1
goldhunters 1
grey 4
grip 1
group 1
grows 1
had 1
hall 3
happens 1
harsh 1
has 2
have 1
he 6
hear 1
henry 2
her 4
higher 1
him 10
himself 1
his 5
home 1
hunger 1
hunter 1
hybrid 1
immediately 1
in 5
including 1
indian 1
indians 1
injury 1
is 12
its 2
jim 1
journey 1
judge 1
kiche 2
kill 2
killed 2
kills 2
kind 1
kittens 1
knowing 1
large 2
last 1
later 1
laws 1
leader 1
left 2
life 1
liplip 1
litter 1
long 1
lynx 7
mackenzie 1
man 1
manages 3
mate 2
mcgurry 1
men 2
moose 1
more 1
morose 1
murderous 1
must 1
name 1
named 1
native 1
near 1
nearly 2
neck 1
never 1
not 1
now 1
of 14
old 1
on 2
one 5
opponents 1
out 2
over 2
pack 5
patient 1
people 1
period 1
persecution 1
prey 1
prison 1
prompting 1
puppies 1
puppy 1
pups 1
pursues 1
railroaded 1
recognizes 1
relaxing 1
remains 1
remote 1
rescue 1
rescued 1
result 1
return 1
rich 1
river 1
rob 1
robbed 1
savage 1
saved 1
scatters 1
scott 7
seeing 1
sentencing 1
seven 1
several 3
severe 1
sheepdog 1
shewolf 8
shortly 1
sierra 1
singles 1
skin 1
sled 1
slowly 1
smith 1
so 2
solitary 1
split 1
stalked 1
starving 1
stops 1
story 4
succeeds 1
successfully 1
suffers 1
suffocates 1
sun 1
surely 1
survives 1
surviving 1
take 1
taken 1
takes 1
tame 1
team 1
teams 1
territory 1
that 2
the 52
their 2
themselves 1
then 1
there 1
they 2
threequarters 1
throttle 1
to 23
town 1
track 1
trade 1
tries 1
trying 2
two 1
until 1
up 1
vicious 1
vista 1
was 1
weedon 2
when 5
which 1
while 1
whiskeyby 1
white 12
who 2
with 6
wolf 3
wolfdog 2
wolves 3
women 1
years 1
young 1
yukon 2
