11709313
/m/02rppk_
/m/02rppk_
Val McDermid
2004
a 2
accompanied 1
after 1
and 1
another 1
are 1
as 1
at 1
be 1
by 1
carol 1
copycat 1
could 1
darker 1
dci 1
dead 1
degeneracy 1
derek 1
dr 1
drawn 1
even 1
for 1
found 1
he 1
here 1
hill 1
incarcerated 1
into 1
investigates 1
is 1
jaded 1
jordan 1
killer 1
lady 1
manipulation 1
mind 1
modus 1
motives 1
night 1
of 3
on 1
operandi 1
or 1
police 1
prostitutes 1
psychosis 1
several 2
similar 1
slaughtering 1
tangled 1
the 3
there 1
tony 1
trail 1
tyler 1
under 1
was 1
web 1
work 1
years 1
