9676004
/m/02pnvfm
/m/02pnvfm
Judith Clarke
1991
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel", "/m/01qxvh": "Romance novel"}
a 27
aasha 14
abandons 1
abhijit 4
about 3
accosts 2
actress 1
advises 1
affair 7
affection 2
after 3
ahead 1
aids 1
akshay 7
amirchand 1
amma 3
an 8
and 31
any 1
appa 1
apparent 1
appropriate 1
are 1
arms 1
arora 2
art 1
as 10
assassin 2
assaulted 1
at 5
attain 1
attempt 1
attempts 2
attention 1
aware 1
away 1
babysitter 1
back 1
badly 1
bathroom 1
be 2
beating 1
beats 1
become 1
becomes 2
been 1
before 1
begins 3
being 1
blackballed 1
blue 1
bollywood 4
book 1
books 1
bored 1
burned 1
business 2
but 2
by 8
call 1
called 1
can 1
career 1
cars 1
child 2
chubby 1
claims 1
columnist 1
confronts 2
continue 1
controls 1
country 1
crisis 1
custom 1
cut 1
dark 1
daughter 3
day 1
dealer 1
debts 1
decide 1
decided 1
declines 1
director 1
discovers 1
do 1
doctor 1
does 2
due 1
each 1
effectively 1
encouraged 1
eventually 1
exchange 1
fall 1
falls 1
famous 2
father 1
fifteen 1
film 9
filmi 1
films 2
financed 1
finances 1
find 1
fire 1
first 1
flagging 1
flies 1
flight 1
for 7
forced 2
former 1
from 3
fully 1
further 1
gangster 1
gangsters 1
get 2
gets 1
girl 2
go 1
goondahs 1
gopalakrishnan 2
gossip 1
had 3
has 11
have 4
having 2
he 9
her 45
herself 2
high 1
him 6
his 9
hits 1
house 1
husband 2
identity 1
if 1
impotent 1
in 13
india 1
indian 1
industrialist 1
industry 2
initiates 1
instead 1
instructions 1
interest 3
into 1
introduces 1
is 16
it 3
jamie 1
jay 3
jojo 2
juicy 1
just 1
keep 1
kept 1
kishenbhai 2
lady 1
later 1
leave 1
lesbian 1
life 1
lifestyle 1
light 1
linda 3
living 1
london 3
lot 1
love 2
lover 3
madly 1
madras 2
magazine 2
making 1
malini 1
man 3
marriage 1
married 2
marries 1
marry 1
meanwhile 2
meets 2
mehra 2
member 1
mob 1
money 1
most 1
mother 1
multiracial 1
mumbai 2
murdered 1
murders 1
named 2
new 4
newest 1
next 3
not 4
notices 1
objecting 1
obsess 1
occurs 1
of 18
off 1
old 1
older 1
on 3
once 1
oncefamous 1
one 1
only 2
other 2
out 6
over 2
own 2
parliament 1
party 2
people 1
phillips 1
place 1
plane 1
pornographic 1
position 1
preparing 1
proceeds 1
producer 2
promiscuous 1
promoting 1
protagonist 1
protection 1
pushed 1
quartered 1
rani 9
reconciles 1
recovers 1
rejects 1
rekindled 1
rekindles 1
renaming 1
repaying 1
reports 1
restarts 1
result 1
retire 1
retires 1
return 1
revealed 1
reveals 2
revenge 1
role 2
sasha 2
scoop 1
secure 2
seduce 2
selling 1
sends 2
sent 1
set 1
seven 1
sex 3
she 29
sheth 1
shonali 2
short 1
showbiz 2
since 1
sleep 1
socialite 1
society 2
some 1
son 2
south 1
spend 1
stardom 1
starlet 3
stars 1
status 1
string 1
striven 1
strives 1
studio 1
succumbed 1
sudha 3
suicide 2
support 1
symbol 1
take 2
takes 1
tells 1
that 12
the 29
their 3
then 6
they 2
this 3
threaten 1
threatens 1
thugs 1
thus 1
time 2
to 43
traffic 1
tried 1
tries 1
turns 1
twelve 1
unable 2
under 1
underworld 1
unsuccessfully 1
use 1
used 1
ushers 1
viji 1
was 6
way 1
weakens 1
weakwilled 1
when 3
where 1
which 1
who 9
wife 3
with 18
work 1
world 2
writes 1
years 2
young 1
zealand 3
zealander 1
