519769
/m/02kycv
/m/02kycv
Herman Melville
1853-11
a 13
about 1
activity 1
advertise 1
afternoons 1
afterward 1
again 1
against 1
ah 2
alas 1
alcoholic 1
all 1
allows 1
already 1
alternate 1
although 1
an 4
and 24
answers 1
anyone 1
apparently 1
appears 1
are 2
around 1
as 7
ask 1
asked 1
associates 1
at 5
attempts 2
away 2
bartleby 29
be 1
because 1
become 1
becomes 1
been 1
behind 1
between 1
blank 1
bonds 1
boon 1
boy 1
bribes 1
brings 1
building 1
builds 1
business 4
but 9
by 4
cakes 1
calmed 1
calmness 1
campaign 1
ceases 1
chronic 1
closing 1
come 2
comfortable 1
copied 1
copy 1
copying 1
corner 1
darker 1
day 2
days 2
dead 3
deal 1
decides 1
deciding 1
deeds 1
desolate 1
desperate 1
died 1
discovers 2
dismay 1
do 1
document 1
documents 1
doing 1
doorway 1
down 1
drunk 1
eat 1
effect 1
elderly 1
emblems 1
embroiled 1
emotionally 1
employees 1
employs 1
entire 1
even 3
eventually 1
ever 2
everpresent 1
evict 1
exasperated 1
except 1
failing 1
fear 1
feeling 1
feelings 1
feet 1
few 2
fewer 2
finally 2
find 1
finding 1
finds 1
first 1
food 1
for 6
forcibly 1
forlornlooking 1
friendliness 1
from 3
front 1
gets 2
ghost 1
ginger 1
glimpsed 1
gloom 1
glummer 1
good 1
gradually 1
had 2
hand 1
has 6
have 3
having 1
he 9
hears 1
help 2
helping 1
highquality 1
him 9
himself 3
hires 1
his 10
home 1
hopes 1
human 1
humanity 1
i 2
idle 1
impresses 1
imprisoned 1
in 9
inability 1
inaction 1
increase 1
indigestion 1
into 1
inviting 1
irritable 1
irritation 1
is 7
it 1
job 1
known 1
large 1
later 1
lawyer 1
leads 1
learn 1
leave 2
leaving 1
legal 1
letter 1
letters 2
life 1
little 1
live 1
living 1
loneliness 1
lost 1
made 1
main 1
make 2
makes 1
man 1
manhattan 1
men 1
mirrors 1
miserable 1
mornings 1
mortgages 1
move 2
must 1
name 1
narrator 22
nature 1
nevertheless 1
new 2
next 1
nicknamed 1
night 1
nippers 5
no 1
not 5
nothing 2
now 2
nut 1
of 19
offers 1
office 6
old 1
on 2
one 2
or 1
other 1
out 3
own 2
pained 1
performs 1
pity 1
plentiful 1
plight 1
practice 1
prefer 3
preferred 1
produces 1
proofread 1
reason 2
rebuffs 1
reflects 1
relates 1
relocating 1
remains 1
removed 1
reputation 1
resigned 1
response 1
returns 1
revulsion 1
rooms 1
ruined 1
rumor 1
scrivener 2
scriveners 2
seen 1
sensing 1
several 1
sigh 1
signature 1
sink 1
sits 1
sleeps 1
so 1
sober 1
some 1
something 1
soon 2
soothe 1
space 1
stairs 1
start 1
started 1
starvation 1
stay 1
still 1
stock 1
stops 1
story 3
strange 2
strangest 1
street 1
suffers 1
sundays 1
sure 1
surprises 1
survives 1
tasks 1
temperament 1
temperaments 1
tenants 2
tension 1
than 1
that 8
the 62
there 2
they 1
third 1
this 1
though 1
threat 1
three 1
through 1
throw 1
thrown 1
time 1
to 26
tombs 1
town 1
turkey 5
turnkey 1
two 3
unable 2
unexpectedly 1
unwillingness 1
usual 1
very 1
view 1
visits 3
volume 1
wall 2
wealthy 1
weekend 1
well 1
what 1
when 2
while 2
why 1
will 3
willing 1
window 1
with 6
wonder 1
words 1
work 3
worked 1
world 1
would 4
yet 1
younger 1
