32710403
/m/0h3lk23
/m/0h3lk23
Marah Roesli


20th 1
a 5
able 1
about 1
accepts 1
admit 1
after 5
afternoon 1
again 1
against 1
an 1
and 11
are 2
asking 1
at 1
away 1
back 1
baginda 1
bankrupt 1
bankruptcy 1
batavia 3
be 3
become 1
begin 1
borrow 1
buried 1
business 1
but 2
by 3
cake 1
can 1
caught 1
century 1
chased 1
childhood 1
classmates 1
collect 1
colonial 1
commits 1
competition 1
datuk 2
death 2
debt 1
destroy 1
dies 2
driving 1
during 1
dutch 3
early 1
east 1
eating 1
fall 2
father 4
for 2
forcing 1
forgive 1
forgiveness 1
friends 1
from 1
front 1
goes 1
going 1
government 1
he 3
her 4
hillside 1
him 5
himself 1
his 3
holdings 1
however 1
hurries 1
if 1
in 4
increase 1
increasingly 1
indies 1
is 3
it 1
jakarta 1
jealous 1
kills 1
kiss 1
later 1
leads 1
letter 2
love 2
mahmud 1
meanwhile 1
meeting 1
meets 1
men 2
meringgih 9
money 1
mortally 1
nearby 1
neighbours 2
never 1
news 1
next 1
noblemen 1
now 1
nurbaya 7
nurbayachildren 1
of 4
offers 1
on 2
only 1
orders 1
out 1
outbursts 1
padang 3
plans 1
poisoned 1
porch 1
protest 1
receiving 2
recent 1
regarding 1
rich 1
runs 1
samsu 7
samsulbahri 1
seemingly 1
she 2
sitti 1
soldier 1
spending 1
study 1
suicide 1
sulaiman 2
sulaimanare 1
surviving 1
sutan 1
syah 1
tax 1
teenage 1
tells 2
ten 1
that 2
the 7
they 5
to 16
together 1
tries 1
unwittingly 1
upon 1
uprising 2
violent 1
wealth 1
when 2
where 1
wife 1
will 2
with 2
worried 1
wounded 1
writing 1
years 1
