31730091
/m/0gmc4yt
/m/0gmc4yt
Vera Panova

150s 1
a 6
and 5
are 1
arkhangelsky 1
army 1
becomes 1
being 1
both 1
boy 1
collective 2
course 1
describes 1
district 1
dmitry 1
ends 1
event 1
experiences 1
family 2
farm 2
for 1
friends 1
gives 1
grim 1
him 1
his 1
important 1
in 4
is 2
korostelyev 3
life 1
living 1
local 1
manager 1
marriage 1
mid 1
model 1
money 1
most 1
mother 1
named 1
neighbors 1
new 2
novel 3
of 7
opportunity 1
over 1
panova 1
picture 1
reassigned 1
red 1
relatively 1
remote 1
role 1
rural 2
scarce 1
seryozha 4
soviet 2
story 2
strong 1
summer 1
taking 1
the 15
those 1
throughout 1
to 2
union 2
veteran 1
where 1
with 2
young 1
