36551772
/m/0kg2qzj
/m/0kg2qzj
Michael Chabon


14year 1
2004 1
70s 1
a 14
abetted 1
acting 1
actor 1
admires 1
after 3
all 1
an 2
and 20
archy 11
are 2
arrival 1
attending 1
avenue 1
aviva 3
away 1
barack 1
because 1
been 6
berkeley 1
best 2
betrayed 1
birth 2
bit 1
black 1
blaxploitation 1
blocks 1
blows 1
brickandmortar 1
brokeland 1
buddy 1
business 2
but 1
by 1
came 1
candygirl 1
care 1
career 1
chandler 3
characters 1
city 1
clark 1
clean 1
cochise 1
concerns 4
construction 1
costar 1
councilman 1
days 1
dealer 1
death 1
dedication 1
died 1
do 3
doctor 1
dogpile 2
doing 1
drop 1
drug 1
drugs 1
drunk 1
during 1
end 1
ended 1
everyone 1
exnfl 1
exploit 1
extinction 1
falling 1
father 1
fathermdashfrom 1
feel 1
few 1
fighting 1
fills 1
film 1
films 2
finance 1
first 2
flowers 1
fly 1
for 8
former 1
fourth 1
friends 1
friendship 1
from 1
fundraiser 1
funeral 1
future 1
get 1
gibson 1
gig 1
goes 1
goode 1
got 1
grandmother 1
gwen 6
had 3
hammond 1
has 5
have 1
he 5
heart 1
heavily 1
held 1
her 2
herself 1
him 2
himself 1
his 8
home 1
hospital 3
illinois 1
impressed 1
in 14
including 1
insults 1
involved 1
is 13
it 1
jaffe 2
jail 1
jewish 1
jones 1
jonesmdasharchy 1
joyner 1
julius 1
keeps 1
knowledge 1
last 1
lead 1
learns 1
legend 1
life 1
little 1
local 2
located 1
long 1
lost 1
loves 1
luther 6
made 1
main 1
major 1
making 1
matter 1
megastore 1
midwifery 1
moore 1
mother 2
much 1
murder 1
music 1
nat 3
never 2
new 1
north 1
noted 1
nothing 1
novel 2
now 1
oakland 1
obama 2
obscure 1
obvious 1
of 10
off 1
old 2
on 4
order 1
organ 1
out 3
over 1
part 1
partners 2
people 1
performance 1
personally 1
physician 1
planned 1
plans 1
played 1
plotline 3
politician 1
pregnant 1
pretty 1
privileges 1
procedures 1
proprietors 1
purple 1
racially 1
records 1
relationship 1
resolves 1
resonate 1
role 1
rothjaffe 1
running 1
rushed 1
second 1
senate 1
set 2
setting 1
shaking 1
shanks 1
she 2
shown 1
sides 1
since 1
son 2
spiritual 1
stage 1
stallings 2
stand 2
start 1
stay 1
still 1
store 2
strained 1
straw 1
strong 1
strutter 2
subplot 1
sudden 1
suddenly 1
suit 1
summer 1
superstar 1
supports 1
switched 1
taglines 1
takes 2
taking 1
telegraph 1
tells 1
texas 1
thang 1
the 26
their 4
they 1
third 2
those 1
threatened 1
tinged 1
titus 2
to 11
trim 1
trying 1
turns 1
twelve 1
two 3
up 5
us 1
used 1
valetta 1
very 2
vinyl 1
walk 1
wants 1
what 2
white 1
who 4
with 8
wives 1
words 1
wrong 1
year 1
years 1
you 1
