10933407
/m/02qvf2v
/m/02qvf2v
Hannes Bok
1969
{"/m/01hmnh": "Fantasy"}
a 8
abilities 1
ability 1
aboard 2
aid 1
an 2
and 3
as 5
be 1
been 1
being 2
best 1
but 1
by 4
can 1
cast 1
changed 1
come 1
country 1
creature 2
deal 1
employed 1
endless 1
enemies 1
enemy 1
enough 1
eventually 1
every 1
finds 1
friend 1
friends 1
from 3
galley 1
gene 3
godlike 1
has 2
he 3
help 2
himself 2
his 2
in 2
including 1
inhabitants 1
into 1
is 3
island 1
its 1
joins 1
kingdom 1
known 2
koph 2
land 1
language 1
looks 1
magic 1
makes 1
man 1
meeting 1
mysterious 1
named 1
nanich 2
needed 1
neighboring 1
new 4
oceans 1
of 5
other 1
overrun 1
passing 1
powerful 1
rescued 1
save 1
see 2
seemingly 1
ship 3
similar 1
some 2
sorcerer 1
sorcererlike 1
such 1
survive 1
talent 1
that 2
the 11
their 2
them 2
they 1
this 2
threat 1
to 7
understand 1
useful 1
utilizing 1
viking 1
war 2
way 1
where 1
while 1
who 1
will 1
with 1
world 3
