14411471
/m/03d2q8x
/m/03d2q8x
John Eric Holmes
1976
{"/m/06n90": "Science Fiction"}
200 1
a 4
abner 1
about 1
also 1
among 1
an 2
and 2
any 2
apparently 1
are 2
area 1
as 2
associate 1
at 1
axe 2
beam 1
beamed 1
beautiful 2
becomes 1
beings 1
below 1
book 1
burrough 1
burroughs 1
by 1
can 1
characters 1
christopher 1
david 1
deals 1
developed 1
dian 1
different 1
dominant 1
down 1
dr 1
driven 1
due 1
efforts 1
end 1
events 1
evidently 1
fire 1
free 1
friends 1
from 3
ghak 1
hairy 1
has 2
himself 1
his 3
human 2
in 3
innes 1
into 1
is 2
kinsley 1
knife 1
known 1
locales 1
mahars 2
miles 1
never 1
newfound 1
obtains 1
of 7
one 1
or 1
other 1
others 1
pellucidar 3
pellucidarian 1
people 1
perry 1
place 1
pocket 1
red 2
region 1
reptiles 1
rescue 1
runs 1
sacrifice 1
second 1
see 2
series 1
set 1
stoneage 1
stories 1
story 1
such 1
surface 1
taking 1
teleportation 1
that 2
the 15
there 1
therefore 1
they 1
to 4
tyranny 1
unusual 1
visited 1
weapon 1
were 1
west 5
when 1
which 3
who 1
with 1
woman 2
