3388166
/m/098_6d
/m/098_6d
Stephen Cole

{"/m/014dfn": "Speculative fiction"}
20th 1
a 8
able 3
above 1
accused 1
act 1
activates 1
active 1
activities 1
actually 1
again 1
agent 3
agree 1
aid 3
also 1
amnesia 1
an 2
and 19
appeared 1
appears 2
approaching 1
are 3
arrest 1
as 3
at 3
avalon 1
banquo 1
base 1
based 1
battles 1
becomes 1
before 2
being 2
bonds 1
bone 1
both 1
bottle 1
built 1
but 2
by 2
can 2
cannot 1
capture 1
captured 1
century 2
ceremony 1
challenged 1
chooses 1
code 1
company 1
compassion 6
confront 1
control 1
copy 1
corrupting 1
course 1
cracked 1
creation 1
day 1
decides 1
destination 1
destroy 2
destroyed 1
destroying 1
destroys 1
devices 1
disenchanted 1
dispose 1
doctor 16
donor 1
drastic 1
during 1
earth 2
edifice 4
eighth 1
embroiled 1
end 1
energy 1
enslavement 1
erased 1
escape 2
escaping 1
events 1
existence 1
expels 1
fact 1
faction 11
fall 1
fallen 1
father 3
fights 1
finds 1
fit 1
fitz 7
followed 1
following 1
for 4
forced 1
former 1
forthcoming 1
free 1
from 7
further 1
gallifrey 5
getting 1
grandfather 3
greyjan 2
group 2
guise 1
has 2
have 1
he 6
her 6
hiccup 1
himself 1
his 2
history 2
holding 2
house 1
hundred 1
in 9
intercept 1
into 3
is 14
itself 1
klein 1
known 1
kreiner 6
lady 1
late 1
left 1
legacy 1
lord 2
lords 3
massive 1
material 1
meanwhile 1
meet 1
modern 1
move 1
navigation 1
never 1
next 2
not 4
novel 1
now 2
occult 1
of 17
old 2
on 5
once 2
only 4
original 1
over 1
own 1
paradox 7
past 2
place 1
placed 1
placing 1
pleads 1
president 2
prevent 1
process 1
programmed 1
pull 1
randomiser 1
reaffirmation 1
recover 1
regenerate 1
released 1
remains 1
rescue 1
resulting 1
reveals 2
rituals 1
roam 1
romana 1
safekeeping 1
sane 1
seemingly 1
sees 1
she 1
skies 1
so 1
space 1
stranded 1
structure 1
suffering 1
system 1
systems 1
taken 1
tardis 5
tarra 2
texts 1
that 4
the 60
them 1
then 1
they 1
threatened 1
time 7
timelords 1
to 21
together 2
travelling 1
truly 1
unable 1
under 1
undo 1
universe 1
until 1
unwitting 1
use 1
used 1
vortex 1
war 1
wartardises 1
was 1
way 1
weapons 1
where 1
which 1
while 2
who 1
whole 1
with 7
witness 1
witnesses 1
working 1
years 1
young 1
