9166340
/m/027zxwr
/m/027zxwr
Minette Walters
1992-06-26
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 13
about 1
abusing 1
after 4
ago 2
alive 1
also 1
and 15
andy 1
angry 1
anne 5
anorexia 1
another 1
approves 1
are 5
as 1
at 1
attacked 1
back 1
bankrupt 1
barnes 2
be 2
been 2
behind 1
believe 1
believes 1
between 2
brakes 1
burglar 1
burglars 1
buried 1
but 3
by 2
can 1
car 1
caught 2
cellar 1
chapel 3
check 1
children 3
clothes 1
cold 1
collected 1
companions 1
company 1
confesses 2
corpse 4
crash 1
daniel 2
david 1
day 1
dci 1
dead 2
diana 2
did 2
died 2
dily 1
doesnt 1
door 1
ds 1
duped 1
dykes 1
eaten 1
emma 1
environment 1
examiner 1
ferris 1
finally 1
finds 1
fires 1
flesh 1
for 3
forbidden 1
former 1
france 1
fred 1
from 3
garage 2
george 1
gets 1
gossip 1
grainge 3
grounds 1
group 1
grownup 1
gun 1
has 2
hasnt 1
have 1
he 5
her 10
hiding 1
hillock 1
him 2
his 4
hospital 1
house 3
how 1
husband 4
ice 3
identified 1
in 10
includes 1
inhabitants 1
innocent 1
inside 1
instigated 1
interrogated 1
investors 3
involved 1
is 4
it 3
jane 3
jonathan 2
just 1
kc 2
keith 2
kill 1
killed 1
killing 1
late 1
left 3
legs 1
life 1
list 1
lives 1
makes 1
man 2
may 1
maybury 1
mcloughlin 3
medical 1
missing 2
money 1
months 1
mother 1
move 1
mrs 1
names 1
nasty 1
neglected 1
nervosa 1
never 1
new 1
night 1
not 1
of 11
officer 1
old 1
one 4
only 2
open 1
openly 1
or 1
other 1
out 1
owner 2
parents 1
part 1
persons 1
peter 3
phoebe 6
plans 1
play 1
police 1
produce 1
proven 1
psychotherapy 1
questioned 1
radiators 1
rats 1
recovers 1
remember 1
revenge 1
romantically 1
room 1
rotting 1
says 1
searched 1
seen 1
seethrough 1
servant 1
she 4
skull 2
smashed 1
smashes 1
start 1
still 1
stole 1
storage 1
street 3
suspected 1
talk 1
ten 2
that 4
the 22
their 2
then 1
they 2
thinks 1
thirties 1
this 1
thompson 3
three 5
to 7
tramp 1
turns 1
two 2
underwent 1
used 2
village 1
villagers 2
wall 1
wally 2
walsh 2
wanted 1
was 6
webster 1
went 2
when 1
who 4
whose 1
widow 1
wife 3
with 5
women 4
years 3
