3725750
/m/09xfvt
/m/09xfvt
Nancy Holder
2006-04-03
a 4
able 1
about 1
above 1
admission 1
almost 1
also 1
and 2
angel 1
anger 1
another 1
around 1
arrives 1
arriving 1
as 1
at 1
be 2
beckon 1
becomes 1
buffy 1
by 2
calliope 1
cares 1
carnival 3
carts 1
clear 1
comes 2
consumed 1
cordelia 1
cost 1
creepy 1
dangerous 1
decide 1
despite 1
divas 1
entering 1
envy 1
exactly 1
finds 1
gets 1
giles 1
gluttony 1
goes 1
greedy 1
hall 1
himself 1
horsedrawn 1
in 2
inspired 1
into 1
investigate 1
is 1
it 3
like 1
many 1
might 1
mirrors 1
more 1
music 1
new 1
nobody 2
now 1
numerous 1
of 4
oldstyle 1
oncehomely 1
out 2
overtaken 1
pair 1
parading 1
people 1
performers 1
persona 1
price 1
pride 1
remember 1
revealing 1
rises 1
rupert 1
same 1
school 1
scoobs 1
seems 3
serious 1
she 1
soon 1
start 1
starts 1
still 1
sunnydale 2
that 1
the 9
they 1
those 1
threaten 1
to 7
traveling 1
twins 1
victim 1
wagons 1
weirdness 1
were 1
whilst 1
who 1
willow 1
with 2
xander 1
