1875529
/m/062yyb
/m/062yyb
Mercedes Lackey
1987-09
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 12
ability 1
able 1
about 3
advisor 1
afraid 2
after 2
almost 1
also 3
and 15
animals 1
animosity 1
any 1
are 4
arrow 1
as 5
ask 1
asks 1
assigns 1
assists 1
at 1
back 1
basics 1
become 1
before 1
begins 1
best 1
between 1
book 1
both 1
but 2
by 6
can 1
chosen 1
circuit 1
combined 1
commission 1
companion 2
companions 2
concludes 1
confirmation 1
confronted 1
continue 1
control 4
councilor 1
decline 1
denies 1
dirk 1
distrust 1
due 1
during 1
earns 1
effect 1
elspeth 3
emotion 1
emotions 1
empathy 1
ethics 1
events 1
face 1
far 1
feel 1
feelings 1
field 1
finds 2
flight 1
for 3
force 1
forest 2
friend 1
full 1
gets 1
gift 6
goes 1
gwena 1
handsome 1
happened 1
has 3
have 2
haven 1
he 3
heirinright 1
heirpresumptive 1
help 1
her 14
herald 6
heralds 4
herself 1
highranking 1
hithertounnoticed 1
how 2
in 8
influence 2
inhabits 1
injury 1
intense 1
internship 3
into 1
is 9
it 1
kris 10
kyril 1
lapse 1
leave 1
level 1
located 1
lord 1
lose 1
lovers 1
major 1
manner 1
mastery 1
met 1
misuses 1
misusing 1
moment 1
month 1
months 1
much 2
must 1
mysterious 1
nephew 1
nevertheless 1
news 1
northern 1
of 11
on 3
once 1
opening 1
opens 1
or 2
orthallen 3
others 2
out 1
over 1
pack 1
party 1
patrol 1
perceives 1
power 1
princess 1
projecting 2
properly 1
queen 1
rage 1
reached 1
reaches 1
read 1
realizes 1
receiving 1
recovered 1
relationship 2
remains 1
reminder 1
rescue 1
results 1
resume 1
road 1
rogue 1
rolan 1
rumor 3
scarcely 1
section 1
sector 2
selenay 1
selfconfidence 1
severe 1
she 11
shield 1
shortly 1
so 1
soon 1
sorrows 1
spectacular 1
startled 1
steady 1
storm 2
talia 10
teaching 1
tells 1
that 5
the 28
their 2
them 1
they 5
this 2
threat 1
three 1
time 1
to 9
training 1
trapped 1
traps 1
troubled 1
two 2
undermines 1
uniform 1
use 1
using 1
vigorously 1
wants 1
waystation 1
what 2
which 3
white 1
whites 1
who 1
will 1
winter 2
with 5
wont 1
worn 1
worried 1
yearandahalf 1
