2260408
/m/06z_ls
/m/06z_ls
Colm Tóibín
1992-09-11
{"/m/05hgj": "Novel"}
a 5
again 1
also 1
amon 1
amongst 1
and 4
are 1
atmosphere 1
austere 1
been 1
blackwater 1
blazing 1
book 2
boolavogue 1
by 2
century 1
charles 1
childhood 1
children 1
colm 1
county 1
court 1
de 1
death 2
development 1
eamon 1
era 1
father 2
fianna 1
fil 1
from 3
hand 1
has 2
haughey 1
heather 1
heir 1
high 1
his 4
in 2
ireland 1
irish 1
it 2
its 1
john 1
judge 1
landscape 1
late 1
life 1
lightship 1
line 1
made 1
marked 1
material 1
mcgahern 2
memories 1
narrative 1
nepotism 1
novel 4
of 9
plots 1
rebel 1
reconstructs 1
redmond 1
relationships 1
republicanism 1
revisit 1
said 1
set 1
similar 1
song 1
specifically 1
story 1
style 1
takes 1
tells 1
that 1
the 21
this 2
through 1
tibn 2
title 1
to 2
twentieth 1
valera 1
wexford 1
which 1
wife 1
with 1
women 1
would 1
